stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,461.23,7129.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0
  5-6,747.82,11333.7,18.39,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,251.32,24.52,0,0,67.43,140.98,0,0,0,0,0,0,0
  7-9,141.95,162.98,331.22,0,0,630.89,0,0,0,0,0,126.18,0,0,0,0,0,0,0,0,0,5494.01,170.87,0,0,2113.49,7.89,2.63,0,0,0,0,0,0
 10-12,0,103.85,129.03,0,22.03,305.26,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,2659.19,94.41,0,0,1082.56,3.15,0,15.73,100.7,6.29,6.29,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,31,1,0,0,3,0,0,3,0,2,4,0,0
 24-34,0,0,0,1.64,0,6.57,0,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0.82,66.49,0.82,0.82,1.64,0,0.82,0,0,0.82,0.82,9.03,0.82,0
 36-46,0,0,0,0.81,0.81,11.28,0,0,0.81,1.61,0,0,0,0,0,0,0,0,3.22,0.81,0,48.34,0,0,0,0,0,0,0,0,0,13.7,0,0
 48-58,0,0,0,0,0,9.18,0.57,0,0,1.72,0,0,0,0,0,0,0,0.57,4.59,0,1.15,39.59,0,0.57,0,0,0,0,0,0.57,0,7.46,0,0
 60-70,0,0,0,0.98,0,18.65,0,1.96,0.98,1.96,0,0,0,0,0,0,0,0,5.89,0,1.96,55.95,0,0,0,0,0,0,0,0,0,4.91,0,0.98
 72-82,0,0,0,0,0,17.67,0,0,0,7.85,0,0,0.98,0.98,0,0,0,0,3.93,0,0.98,38.28,0,0,0.98,0,0,0,0,0,0,4.91,0.98,0
 84-94,0,0,0,1.06,0,6.37,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,1.06,0,15.93,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,8.74,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,6.13,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0,0.77,0,0,12.26,0,0.77,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,5.88,0,1.96,0,0,0,0,0,13.72,0,0,1.96,0,1.96,0,0,0,0,0,0,0
