stage,epidermis,eye,fin.epithelia,glial,heart,mesenchyme,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,13.13,0,1.64,0,0,0.82,169.92,0,19.7,0,0
 36-46,0.81,68.48,0,14.5,0,0,0,253.79,0.81,65.26,0,0
 48-58,1.15,83.2,1.15,30.99,0.57,1.15,0,208.86,0,62.54,0,0
 60-70,0,56.93,0,17.67,0,0,0,73.61,0.98,17.67,0.98,0
 72-82,0,24.54,0,12.76,0,0.98,0,69.7,0,10.8,0,0
 84-94,0,23.36,0,4.25,0,0,0,33.99,0,2.12,0,0
 96-106,0,17.49,0,6.56,0,0,0,30.6,0,3.28,0,0
108-118,0,13.79,0,12.26,0,0,0,38.3,0,0.77,0,0.77
120,0,25.48,0,11.76,0,0,0,39.2,0,0,0,0
