stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,184.49,3413.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0
  5-6,85.81,1593.71,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,12.26,18.39,0,0,0,0
  7-9,2.63,7.89,18.4,0,0,10.51,0,5.26,0,0,0,0,0,107.78,10.51,0,49.95,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,2,0,2,0,0,1,3,2,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,1.72,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,1.96,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,1.06,0,0,2.12,0,1.06,0,3.19,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,1.53,0,1.53,0,0,0,0,0,1.53,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0
