stage,epidermis,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,1,14,0,0,0,0,3,0,0
 24-34,0.82,6.57,0,1.64,0,0.82,0,0,4.93,0,27.09,0,0,0.82,0,7.39,0,0
 36-46,0.81,10.47,0,0.81,0,0.81,0.81,0,2.42,0,28.2,0,2.42,0,0,8.06,0,0
 48-58,0.57,33.85,0,1.15,0,0,0,0,8.03,2.87,20.08,0,0,0,0.57,1.15,0,0.57
 60-70,0,20.61,0,1.96,0.98,0.98,0,0,2.94,0,6.87,0,0,0,0,0,0,0.98
 72-82,0,16.69,0.98,2.94,0,0.98,0,0,5.89,2.94,11.78,0.98,0,0,0.98,0,0,0
 84-94,1.06,5.31,0,0,0,0,0,0,2.12,1.06,3.19,0,0,0,0,1.06,0,0
 96-106,0,4.37,0,0,2.19,0,0,1.09,1.09,1.09,2.19,1.09,0,0,0,0,2.19,0
108-118,0,0.77,0,0.77,0,0,0,0,0,0,3.06,0,0,0.77,0,0,0,0
120,0,3.92,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
