stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vasculature
 14-21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,24.63,0.82,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,45.92,0,0,0,0,0,0,0,0.81,0.81,0,0,0,1.61,0,1.61
 48-58,0,0,0,1.72,0.57,0,63.69,0,0,0,0.57,0,0.57,0.57,0.57,7.46,0,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,54.97,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,1.96
 72-82,0,0,0,0.98,1.96,0,93.26,0.98,0,0,0,0,2.94,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,118.95,5.31,0,0,2.12,0,0,0,0,3.19,0,1.06,0,0,1.06,0
 96-106,1.09,1.09,0,5.46,0,2.19,149.72,5.46,0,1.09,0,0,0,0,1.09,3.28,0,0,0,0,1.09,0
108-118,0,0.77,0.77,0,0.77,1.53,135.58,5.36,0.77,0,0.77,0.77,1.53,0,0.77,7.66,0,0,0.77,0,0,0
120,0,3.92,0,0,0,1.96,158.74,5.88,0,0,3.92,0,0,0,0,5.88,0,0,0,0,0,3.92
