stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,3,18,0,1,0,0,0,0,2,0,1,6,0,0,0,2,0,0
 24-34,0,0,0,0.82,7.39,0.82,0,3.28,0,0,0,0,0,0,0.82,0.82,0.82,0,0,0,0,9.03,1.64,0,4.93,31.19,0.82,0,0.82,0,0,1.64,0,0,0,2.46,4.1,0,0,1.64,0,0.82
 36-46,0,0,0,0,5.64,0,0,3.22,0,2.42,0.81,1.61,0.81,0,2.42,0.81,0.81,0,0.81,0,0.81,26.59,0,0.81,4.03,38.67,0,1.61,0,0,0.81,4.03,0,0,0,0,9.67,0,0,3.22,0,0.81
 48-58,0,0,0.57,0,1.15,0,0,7.46,0,1.15,2.3,10.9,0.57,0,1.15,2.87,1.72,0.57,1.15,0,2.3,43.04,0.57,0,3.44,26.97,0,1.72,0,0,1.15,3.44,0,0,0,0,6.31,0,0,5.74,0,0.57
 60-70,0,0,0,0,3.93,0,0,7.85,0,0.98,1.96,7.85,0,0.98,0,4.91,0.98,0,0,0,0,33.37,0,1.96,3.93,26.5,0.98,0,0.98,0,1.96,11.78,0,0.98,0,0,0.98,0,3.93,3.93,0.98,0
 72-82,0,0,2.94,0,8.83,2.94,0,14.72,0,0,5.89,35.34,0.98,1.96,3.93,14.72,3.93,0.98,2.94,0,0,152.16,2.94,7.85,16.69,41.23,0.98,2.94,0.98,0,0,40.25,0,0,0,0,3.93,0,5.89,15.71,4.91,2.94
 84-94,0,0,0,0,12.74,4.25,0,11.68,2.12,3.19,0,10.62,4.25,0,2.12,22.3,3.19,2.12,0,0,3.19,78.59,1.06,8.5,5.31,12.74,0,1.06,2.12,0,0,71.16,0,6.37,0,0,0,5.31,5.31,14.87,2.12,2.12
 96-106,0,0,2.19,0,18.58,3.28,0,20.76,1.09,2.19,2.19,10.93,9.84,0,8.74,33.88,7.65,2.19,4.37,1.09,1.09,91.8,5.46,5.46,4.37,20.76,3.28,1.09,3.28,0,3.28,143.16,0,1.09,0,0,1.09,3.28,2.19,25.14,10.93,4.37
108-118,0,0,1.53,0.77,27.57,1.53,1.53,19.15,1.53,5.36,2.3,19.15,5.36,0,0.77,19.15,4.6,9.19,2.3,3.06,3.83,80.43,5.36,6.13,9.19,22.21,0,1.53,3.06,0,3.83,85.79,0,1.53,0,0,0.77,1.53,1.53,19.92,3.83,6.13
120,0,0,1.96,0,47.03,5.88,0,9.8,3.92,13.72,9.8,17.64,13.72,0,7.84,45.08,11.76,5.88,5.88,3.92,3.92,99.95,3.92,11.76,11.76,45.08,0,3.92,9.8,0,7.84,158.74,0,3.92,0,0,9.8,0,3.92,17.64,1.96,1.96
