stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,63.09,0,36.8,0,0,178.75,0,0,0,0,0,646.66,0,0,0,0,0,0,0,0,0,0,2773.29,7.89,0,0,144.58,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,217.14,0,18.88,188.82,0,0,0,0,0,519.25,0,0,0,0,0,3.15,0,0,0,0,2627.72,34.62,0,0,550.72,0,3.15,3.15,0,47.2,0,47.2,0,0,0,0,0,0
 14-21,0,0,0,15,606,171,4,0,25,0,1,41,131,1,0,30,0,2,1,122,2,0,28,200,12,2,58,24,0,37,0,30,10,242,376,109,0,0,42,0,0
 24-34,0,0,0,2.46,111.64,13.95,4.1,0,63.21,0,0.82,5.75,13.13,0.82,3.28,37.76,0.82,4.93,1.64,128.87,5.75,0,22.98,121.49,2.46,1.64,22.16,0,0,18.88,0,0,3.28,69.77,22.98,18.88,0,0,72.24,0,0
 36-46,0,0,0,1.61,39.48,4.03,103.13,0,33.84,9.67,2.42,7.25,0.81,2.42,24.17,7.25,0.81,2.42,2.42,82.18,3.22,1.61,17.72,47.53,1.61,0,13.7,0,0,19.34,0,0,0,25.78,0,3.22,0,0,48.34,0,0.81
 48-58,0,0,0,1.72,16.07,0.57,637.5,1.15,30.99,12.05,5.74,10.33,2.3,0.57,5.74,2.87,0,3.44,1.15,57.95,0,2.87,15.49,57.38,0,0.57,5.74,0,0,26.4,0,0,0,19.51,0,16.07,0,1.15,25.82,0,0
 60-70,0,0,0,0,16.69,0.98,994.28,3.93,39.26,16.69,0.98,9.82,1.96,0.98,40.24,5.89,0,7.85,1.96,40.24,0,3.93,5.89,32.39,0,0,3.93,0.98,0,38.28,0,0,0,24.54,0,15.7,0.98,0.98,20.61,1.96,0
 72-82,0,0,0,0,18.65,1.96,475.12,3.93,18.65,13.74,5.89,13.74,0.98,0.98,21.6,11.78,0,12.76,0,39.27,0,0.98,9.82,24.54,0,0,2.94,0.98,0,17.67,0,0,0,2.94,0,4.91,0.98,9.82,24.54,4.91,0.98
 84-94,0,0,0,1.06,46.73,1.06,486.41,1.06,48.85,12.74,6.37,49.92,3.19,0,44.61,23.36,2.12,16.99,1.06,30.8,0,4.25,4.25,22.3,0,1.06,4.25,0,1.06,46.73,0,0,0,11.68,0,2.12,0,13.81,39.3,2.12,0
 96-106,0,0,0,1.09,63.39,1.09,219.66,1.09,54.64,4.37,5.46,46.99,0,2.19,60.11,26.23,0,36.06,0,33.88,0,0,5.46,31.69,0,0,4.37,1.09,0,48.09,0,0,1.09,6.56,0,0,1.09,5.46,27.32,7.65,0
108-118,0.77,0,0.77,2.3,59.75,0.77,173.11,0,76.6,7.66,3.06,72,0,0.77,51.32,22.21,0,21.45,0.77,34.47,0,0.77,2.3,22.21,0,0,1.53,0,0,37.53,0,0,0.77,6.13,0,0.77,0,1.53,20.68,2.3,0
120,0,0,0,0,31.36,0,148.94,0,48.99,9.8,3.92,21.56,0,1.96,74.47,13.72,0,27.44,0,13.72,1.96,1.96,5.88,19.6,1.96,0,3.92,0,0,33.32,0,0,0,7.84,0,0,0,1.96,23.52,1.96,0
