stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
 24-34,0,4.1,0,0,5.75,0,0,0.82,0,0,0,0,0.82,0.82,32.01,0,119.84,13.13,0,0,7.39,24.63,1.64,0.82,0.82,0,4.1,0,0,0.82,5.75,0,1.64,0,26.27
 36-46,0,2.42,0,0,7.25,0,0,0.81,4.03,0,0,0,0,0.81,52.37,0,146.63,36.26,0,0,8.06,37.87,0,0,0,0,4.83,0,0,0,8.06,0,0.81,0,16.92
 48-58,0,2.3,1.15,0,16.64,0,0,0.57,2.87,0,0,2.87,0,0,75.17,0.57,84.35,49.92,0.57,0,12.05,32.71,0,0,0,0,6.31,0,0.57,0,7.46,0,0.57,0,18.36
 60-70,0,1.96,0,0,13.74,0,0.98,0,2.94,0,0.98,0.98,0.98,0,135.45,0.98,28.46,78.52,0,0.98,22.58,21.59,0,0,0,0,4.91,0,0,0,4.91,0,0.98,0,7.85
 72-82,0,4.91,0,0,25.52,0,0.98,0,9.82,1.96,0,1.96,2.94,0,141.36,2.94,15.71,182.59,0,0.98,37.3,26.5,0,0,0.98,0.98,5.89,0,0,0,4.91,0.98,1.96,0,4.91
 84-94,0,8.5,1.06,0,16.99,0,0,0,1.06,0,0,2.12,1.06,2.12,175.24,0,24.43,137,0,1.06,21.24,18.05,0,0,2.12,0,13.81,0,0,0,1.06,0,1.06,0,3.19
 96-106,1.09,4.37,2.19,0,27.32,1.09,0,1.09,22.95,1.09,0,2.19,4.37,2.19,162.83,1.09,15.3,210.92,0,2.19,28.41,24.04,1.09,1.09,0,0,15.3,1.09,0,0,3.28,0,0,1.09,2.19
108-118,0,4.6,0.77,0.77,13.02,0,0.77,0,8.43,1.53,0,1.53,3.83,1.53,225.19,1.53,13.79,245.87,0.77,1.53,17.62,21.45,0.77,0,0,0.77,16.85,0,0,0,0,0.77,0.77,0.77,3.06
120,0,7.84,1.96,0,7.84,0,0,0,19.6,0,0,1.96,1.96,0,156.78,0,0,262.61,0,3.92,37.24,35.28,0,3.92,0,0,9.8,0,0,0,1.96,0,0,0,1.96
