stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,52.71,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,153.24,1514.02,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,36.78,6.13,0,0,18.39,30.65,0,0,0,0
  7-9,18.4,15.77,28.92,0,0,28.92,0,0,0,0,15.77,0,0,0,0,0,507.34,13.14,0,0,115.66,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,34.62,0,0,0,0,6.29,0,0,0,0,0,251.76,3.15,0,0,97.56,0,0,9.44,3.15,0
 14-21,0,0,1,6,1,2,0,0,0,0,0,0,0,0,1,0,29,0,0,1,0,0,2,0,3,7
 24-34,0,0,0,1.64,0,6.57,0,0.82,0,0,0,0,0.82,0,1.64,0.82,41.86,0,0.82,0,0,0,0,0,1.64,13.95
 36-46,0,0,0,0,0,5.64,0.81,0,2.42,0,0,0,0,0.81,1.61,1.61,25.78,0,0,0,0,0,0,0,0,8.86
 48-58,0,0,0,0,0,13.77,0,0.57,1.72,0,0,0,0,0,2.87,0.57,12.62,0,0,0,0,0,0,0,0,4.02
 60-70,0,0,0,0,0,6.87,0,0,1.96,0.98,0,0,0,0,3.93,0,5.89,0,0.98,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,0,1.96,0,0,2.94,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,0,2.12,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0.77,0,0,0,0,0,1.53,0.77,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
