stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,82,2,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,16,245,0,0,5,0,0,10,1,0,4,26,0,0,0,0,0
 24-34,0,0,2.46,239.69,0,0,18.06,3.28,4.93,0,0.82,0,1.64,0,0,0,1.64,0,65.67,5.75,0,38.58,41.04,87.01,0.82,0,0,0,7.39,0,0,1.64,4.93,20.52,0,0,0.82,0,0
 36-46,0,0,0,130.52,0.81,0,6.45,4.03,9.67,0.81,1.61,0.81,0,0,0.81,0.81,1.61,0.81,86.21,0,0.81,26.59,29.81,58.81,0.81,2.42,0,0.81,4.83,0,0,3.22,0,12.09,0,0,0,0,0.81
 48-58,0.57,0,0,100.42,0,0,10.9,5.74,9.75,1.72,1.15,0,0.57,0,1.15,0,1.15,0,159.52,0.57,1.15,23.53,33.28,43.04,0,4.59,0,0,2.87,0,0,0.57,0,10.9,0,0,0.57,0,0
 60-70,0,0,0,80.48,0,0,22.58,5.89,16.69,2.94,5.89,0,0,0,0,0,0,0,249.31,0.98,2.94,20.61,29.45,27.48,0,8.83,0,0,0,0,0,0,0,2.94,0,0.98,0,0.98,0
 72-82,0,0,0,93.26,0.98,0,25.52,3.93,18.65,6.87,6.87,0,0,0,0.98,0,2.94,0,388.74,2.94,2.94,35.34,47.12,20.61,1.96,6.87,0,0.98,0.98,0,0,0,0,2.94,0.98,0.98,0.98,3.93,1.96
 84-94,1.06,0,0,170.99,0,0,29.74,0,29.74,3.19,5.31,0,0,0,2.12,2.12,3.19,0,249.58,1.06,0,18.05,30.8,39.3,2.12,13.81,0,1.06,0,0,0,0,0,1.06,1.06,1.06,1.06,4.25,0
 96-106,0,0,0,149.72,4.37,1.09,25.14,2.19,32.79,7.65,3.28,0,1.09,0,1.09,0,0,0,205.46,1.09,9.84,15.3,28.41,21.86,3.28,17.49,0,1.09,6.56,0,1.09,0,0,0,0,1.09,0,4.37,1.09
108-118,0,0,0,176.17,0,0.77,23.74,0.77,32.94,2.3,1.53,0,0.77,0.77,0.77,0,0.77,0,189.19,0,3.83,16.09,33.7,26.81,2.3,11.49,0,3.06,1.53,0,1.53,0.77,0,0.77,0.77,0,0.77,3.06,0
120,0,0,0,143.06,0,0,27.44,7.84,25.48,3.92,1.96,0,0,0,0,0,1.96,1.96,123.47,0,5.88,15.68,45.08,23.52,3.92,5.88,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96,0
