stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,36.78,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,18.4,13.14,0,15.77,0,0,0,21.03,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,231.33,13.14,0,0,105.15,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,166.79,6.29,0,0,132.17,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,12,9,0,7,0,0,0,2,1,0,0,0,0,0,0,0,0,20,0,0,9,142,7,1,0,2,0,0,17,0,3,21,66,0,1,0,1
 24-34,0,0,3.28,0.82,0.82,0.82,0,11.49,0,0,0,5.75,0,0,0,0,0,0,0,1.64,0.82,21.34,0.82,0,13.13,260.21,2.46,2.46,0,0,0,0,0,0,0,7.39,79.62,0,15.6,0,1.64
 36-46,0,0,0,0,0.81,0,0,41.89,0.81,0,0.81,8.06,0,0,1.61,0,0,0.81,0.81,0.81,1.61,29.81,0,2.42,7.25,283.6,1.61,2.42,0,0,0,0,0,0,0,0,62.04,0,9.67,0,2.42
 48-58,0,0,0,0,1.15,0.57,0,63.69,0,0,2.3,14.35,0.57,0,0.57,0.57,0,1.72,0,0.57,0,32.71,0,1.72,6.89,197.39,0,3.44,1.15,0,0,1.15,0,0,0,0,43.61,1.15,8.03,0,0.57
 60-70,0,0,0,0,0.98,1.96,0,91.28,0.98,0,0.98,15.7,0,0,0.98,0.98,0,0.98,0,0,0.98,53.98,0,3.93,2.94,199.25,0,1.96,0.98,0,0,0,0,0,0.98,0,23.56,1.96,9.82,0.98,1.96
 72-82,0,0,0.98,0,1.96,2.94,0,63.81,0,1.96,0.98,15.71,0,0,1.96,2.94,0,1.96,0.98,0,0,77.55,0,5.89,2.94,164.92,0,1.96,0.98,0,0.98,0,0,0,0,0,16.69,5.89,24.54,0.98,0.98
 84-94,0,0,2.12,0,2.12,2.12,0,45.67,0,2.12,1.06,20.18,0,0,0,6.37,0,1.06,1.06,0,0,46.73,0,5.31,5.31,99.83,1.06,0,1.06,0,0,2.12,0,0,0,0,10.62,1.06,15.93,0,0
 96-106,0,0,0,0,7.65,0,1.09,41.53,1.09,5.46,1.09,14.21,2.19,0,3.28,5.46,1.09,2.19,0,2.19,0,50.27,0,4.37,4.37,83.06,1.09,3.28,0,0,2.19,0,0,0,0,0,8.74,2.19,15.3,2.19,1.09
108-118,0,0,0,0,9.96,3.06,0.77,39.06,0.77,6.89,0,17.62,0.77,0,0,2.3,0.77,3.06,0.77,3.06,2.3,62.04,0,5.36,6.13,81.96,0.77,3.06,1.53,0,3.06,0.77,0,0,0.77,0,0,2.3,13.79,3.83,0
120,0,0,1.96,0,1.96,1.96,0,19.6,0,1.96,0,5.88,3.92,0,0,0,0,3.92,0,0,0,29.4,0,0,3.92,66.63,3.92,0,1.96,0,0,0,0,0,0,0,0,1.96,13.72,0,1.96
