stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,5.75,44.33,0,2.46,0,1.64,0,0,0.82,0.82,19.7,0,0,0,0,1.64,0,0,0.82,9.85,0,0,2.46,0,0,12.31,0,0,0,1.64,0,0.82,0,0
 36-46,0,0,0,0,7.25,4.83,0,2.42,0,2.42,0,0,0.81,0,34.64,0,0.81,0,0,1.61,0,0,0,7.25,0,0,0,0,0,40.28,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,5.74,3.44,0,4.02,0,8.61,0.57,0.57,0.57,0,41.89,0.57,0,0.57,0,1.15,0,0,0.57,4.59,0,1.15,0.57,0,0,63.12,0,0.57,0,0.57,0,1.72,0,0
 60-70,0,0,0,0,16.69,0,0,1.96,0,10.8,0,0.98,0,0,27.48,0,0.98,1.96,0.98,0.98,0,0,0,9.82,0,2.94,1.96,0,0,69.69,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0.98,0,35.34,2.94,0,0.98,0,12.76,0,0,1.96,0,72.64,0.98,4.91,0,1.96,2.94,1.96,0.98,0,4.91,0,4.91,0.98,0,0,108.96,0,0.98,0,1.96,2.94,1.96,0.98,0
 84-94,0,0,0,0,84.96,4.25,0,1.06,0,37.17,0,1.06,2.12,1.06,94.52,0,3.19,2.12,1.06,4.25,0,0,0,4.25,0,4.25,6.37,0,0,155.06,0,4.25,0,1.06,3.19,6.37,1.06,0
 96-106,0,0,4.37,0,86.33,6.56,0,5.46,0,34.97,1.09,0,2.19,1.09,108.19,0,4.37,7.65,0,3.28,1.09,0,0,9.84,0,6.56,7.65,0,0,185.78,0,2.19,0,1.09,9.84,5.46,0,1.09
108-118,0,0,0,0,94.98,6.13,0.77,3.83,0,47.49,0,0,4.6,0,83.49,0.77,4.6,4.6,2.3,3.06,2.3,0,0,6.89,0,4.6,4.6,0,0.77,141.7,0,3.06,0.77,1.53,7.66,3.06,0.77,0
120,0,0,0,0,58.79,19.6,0,1.96,1.96,27.44,0,1.96,0,1.96,82.31,1.96,0,0,0,1.96,1.96,0,0,7.84,0,3.92,1.96,0,0,131.31,0,3.92,0,0,5.88,1.96,0,0
