stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,3,0,0,0,0,1,0,0,0,0,0
 24-34,0,1.64,25.45,0,0,0.82,1.64,0,0,0.82,0.82,0,0,0,0,0,5.75,14.78,0.82,0,4.1,2.46,0,0,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,4.03,0,0,0,2.42,0,0,0,0,0,0,0,0,0,3.22,7.25,0,1.61,2.42,1.61,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,1.15,0,0,1.72,4.02,0,0,0,0.57,0,0,0,0,0,0,14.92,0,1.72,0.57,2.3,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,2.94,0,0,3.93,5.89,0,0,0,0.98,2.94,0,0,0,0,0,46.13,0,10.8,4.91,2.94,0,0,0.98,0,0,0,0.98,0.98,0.98,0
 72-82,0,0,6.87,0,0,11.78,4.91,0.98,0.98,12.76,1.96,0.98,0,0,0,0,0,71.66,0.98,31.41,7.85,13.74,0,3.93,0,0,0,0.98,0.98,0,7.85,0
 84-94,2.12,0,18.05,0,0,5.31,11.68,4.25,2.12,15.93,1.06,2.12,1.06,0,0,1.06,0,52.04,0,28.68,1.06,7.43,1.06,3.19,0,0,0,0,1.06,0,10.62,0
 96-106,0,0,56.83,4.37,1.09,25.14,32.79,3.28,3.28,21.86,3.28,8.74,0,1.09,1.09,0,0,109.28,1.09,50.27,5.46,22.95,1.09,4.37,4.37,3.28,0,2.19,3.28,3.28,15.3,1.09
108-118,0,0.77,64.34,0,0.77,6.89,45.19,3.83,0.77,29.11,2.3,1.53,4.6,0,0,1.53,0,79.66,1.53,44.43,6.89,16.09,0,8.43,2.3,0.77,0,1.53,0.77,0.77,6.89,0.77
120,0,0,17.64,3.92,0,0,15.68,3.92,1.96,17.64,0,0,0,0,0,0,0,105.83,0,45.08,5.88,13.72,0,5.88,1.96,0,0,1.96,0,0,9.8,0
