stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,57,4,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,26,8,0,0,0,0,8,0,9,5,1,2,0,0,0,0,0
 24-34,0,0,1.64,0,2.46,0,0,0,0,0,0.82,0,1.64,0,0,0,1.64,10.67,0,0,2.46,27.91,1.64,0.82,0,0,4.1,0,31.19,1.64,0,9.85,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,0,0,0,1.61,0,0,1.61,0,8.86,0,0,3.22,31.42,2.42,1.61,0,0,4.03,0,13.7,0,0,9.67,0,0,0,0,0
 48-58,0,0.57,1.72,0,14.35,0,0.57,1.72,6.31,0,0.57,0.57,2.87,0,0,0.57,0,26.4,0,0,2.87,49.35,1.15,2.3,0,0,0.57,0.57,5.74,0,0,10.33,0,0,1.15,0,0.57
 60-70,0,0,1.96,0,47.11,0,4.91,1.96,25.52,0,0.98,0,3.93,0,0,0.98,0.98,59.87,0,0.98,4.91,85.39,1.96,6.87,0,0,2.94,0,4.91,0.98,0,9.82,0,1.96,0.98,0.98,0
 72-82,0,0,2.94,2.94,65.77,0,0.98,4.91,47.12,0,0.98,0,2.94,0.98,0,0,0.98,96.2,0,4.91,4.91,124.67,0.98,7.85,0,1.96,0.98,0,4.91,0.98,0,5.89,0,2.94,0,0,0
 84-94,0,0,8.5,0,42.48,0,7.43,2.12,33.99,0,4.25,0,10.62,1.06,2.12,2.12,0,73.28,0,9.56,2.12,80.71,1.06,8.5,0,0,3.19,0,6.37,0,0,7.43,0,5.31,0,0,1.06
 96-106,0,0,5.46,0,46.99,0,2.19,3.28,30.6,0,0,1.09,8.74,0,1.09,3.28,0,73.22,0,2.19,1.09,85.24,1.09,10.93,0,3.28,1.09,0,6.56,0,0,7.65,0,2.19,2.19,0,2.19
108-118,0,0,6.13,0,36,0.77,4.6,2.3,36.77,0.77,0,1.53,11.49,3.06,0,0.77,0,78.89,0.77,1.53,3.06,90.38,1.53,6.13,0,2.3,0,0,8.43,0.77,0,3.06,1.53,2.3,0.77,0.77,2.3
120,0,1.96,7.84,0,35.28,0,0,3.92,43.12,0,0,0,21.56,0,1.96,1.96,1.96,86.23,0,1.96,0,123.47,5.88,9.8,0,0,1.96,0,3.92,0,0,7.84,0,0,0,0,0
