stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,734,2,0,0,0,4,0,0,1,0,0,1,2,0,0,0,0,63,5,0,53,8,1,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0
 24-34,0,0,1.64,1126.21,0.82,0,10.67,0,83.73,0.82,1.64,0.82,0.82,0.82,12.31,2.46,1.64,3.28,1.64,0.82,473.63,18.88,0,217.53,109.17,0.82,1.64,4.1,0,0,9.85,0,1.64,0.82,9.03,23.8,0,0,0.82,0,0
 36-46,0,0,0.81,690.46,0,0,12.89,0,133.74,19.34,4.83,0,0,0.81,28.2,0.81,0,1.61,0,0,692.88,8.06,0,260.23,98.29,1.61,1.61,6.45,0,0.81,5.64,0,0,0.81,0.81,18.53,0,0,4.03,0,0
 48-58,0,0,0,572.08,1.15,0,41.31,1.72,187.06,34.43,12.62,0,0,0.57,33.85,0,0,0,0,3.44,812.51,6.89,0.57,221.49,111.89,0.57,3.44,3.44,0,0,2.87,0,0,0,0.57,35,0,0,0.57,0,0.57
 60-70,0,0,0,639.95,0.98,0,51.04,0.98,179.62,53.98,41.22,0,0,0,29.45,1.96,0,1.96,0.98,0,787.18,7.85,2.94,147.23,85.39,1.96,2.94,10.8,0,1.96,2.94,0,1.96,0.98,0,11.78,4.91,0,0,1.96,0.98
 72-82,0,0,0.98,812.82,2.94,0,95.22,1.96,205.17,92.28,121.73,8.83,0,0,66.75,8.83,0,0,0.98,0,794.16,11.78,3.93,156.08,89.33,0,10.8,18.65,0,0.98,4.91,0,0,1.96,0,6.87,15.71,6.87,2.94,2.94,0.98
 84-94,1.06,0,0,1473.05,3.19,0,115.76,1.06,405.7,64.78,94.52,30.8,0,2.12,82.84,30.8,1.06,2.12,0,0,617.04,16.99,6.37,110.45,45.67,2.12,5.31,23.36,0,0,13.81,0,0,1.06,0,12.74,63.72,5.31,1.06,5.31,0
 96-106,0,0,0,1985.7,7.65,3.28,90.71,0,455.72,59.01,102.73,79.78,0,1.09,90.71,27.32,1.09,1.09,6.56,0,638.22,29.51,2.19,95.08,114.75,2.19,22.95,30.6,0,0,17.49,0,2.19,0,0,1.09,68.85,5.46,7.65,6.56,0
108-118,0,0,3.06,1569.46,3.06,2.3,45.96,1.53,546.9,58.98,87.32,93.45,0,0,75.06,26.04,0,0.77,1.53,0,546.13,14.55,9.19,81.19,81.96,3.06,14.55,32.17,0,4.6,7.66,0,0.77,0,0,3.06,91.92,11.49,1.53,0,2.3
120,0,0,1.96,1111.2,0,3.92,41.16,1.96,366.48,66.63,78.39,39.2,0,0,66.63,15.68,0,7.84,5.88,0,364.52,15.68,5.88,60.75,72.51,0,9.8,37.24,0,3.92,11.76,0,0,0,0,1.96,33.32,7.84,1.96,0,1.96
