stage,blastomeres,erythrocytes,eye,fast_muscle,glial,hatching_gland,mesenchyme,muscle,neural,otic,pericytes,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,1,26,0,0,0,1,3,3,0,0,0
 24-34,0,0,4.1,0.82,0,0,1.64,1.64,63.21,0,0,0,0.82,1.64,9.03,0,0.82,0
 36-46,0,0,5.64,0,2.42,0,2.42,0.81,51.56,0.81,0,0,0,0,9.67,0,0,0
 48-58,0,0,6.89,1.72,2.3,0,2.3,1.15,12.05,0,0,0,0,0,5.74,0,0,0
 60-70,0,0,3.93,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0
 84-94,0,1.06,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,1.09,0,0,0,1.09,0,0,0,0,1.09,0,1.09
108-118,0,0,0.77,0,2.3,0,0,0,0.77,0.77,0,0,0,0,0,0,0,1.53
120,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96
