stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.73,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0,9.67,0,0,15.31,0,0,0,0,0,0,0,0,4.83,0.81,0.81,217.53,0.81,0.81,0,27.39,0,0,0,0,0
 48-58,0,0,1.72,0,33.85,0,0.57,36.15,0,0.57,0,0,0,0.57,0,0,23.53,3.44,4.59,317.89,0.57,0,0,56.23,0,0,2.3,0.57,0
 60-70,0,0,0.98,0,67.73,0.98,0.98,57.91,0,0.98,0,0,0,1.96,0,0,56.93,5.89,1.96,425.98,0,1.96,0.98,53,0,0.98,2.94,0,0.98
 72-82,0,0,1.96,0,69.7,0,2.94,49.08,0.98,0,0,0,0,0.98,2.94,0,45.16,5.89,7.85,315.11,0,0.98,0,31.41,0,2.94,5.89,0.98,0
 84-94,0,0,7.43,0,32.92,0,2.12,30.8,0,1.06,1.06,1.06,1.06,0,1.06,0,33.99,3.19,4.25,149.75,0,2.12,1.06,11.68,0,5.31,4.25,1.06,0
 96-106,1.09,0,2.19,1.09,32.79,0,0,20.76,0,1.09,0,0,0,0,0,0,29.51,4.37,1.09,124.58,0,0,0,5.46,0,1.09,4.37,2.19,0
108-118,0,0,3.83,0,25.28,0.77,0.77,16.09,0,1.53,0,0,0.77,0,0.77,1.53,27.57,2.3,3.83,131.75,1.53,2.3,2.3,6.13,0.77,0.77,5.36,0,0.77
120,0,1.96,7.84,0,31.36,0,1.96,23.52,0,0,0,0,0,0,0,0,29.4,3.92,7.84,180.3,3.92,3.92,0,5.88,0,0,1.96,1.96,0
