stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0
 24-34,0,0,2.46,0,0,3.28,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,280.73,0,0,1.64,0,0,0,0,0,0.82,49.25,0,0,0,0,0
 36-46,0,0,1.61,0,0,3.22,0,0,0,2.42,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,738.8,0.81,2.42,0,0,0,0.81,0,0,0,66.87,0,0,0,0,0
 48-58,0,0,5.74,0,0,40.74,0.57,0,1.15,12.05,0,0,0.57,1.15,0.57,0,0,0,1.15,12.62,0,0,3.44,1066.7,0,0.57,0,0.57,0,1.15,0,0.57,0,114.19,0,0,1.72,0,1.15
 60-70,0.98,0,2.94,0,0,62.82,0,0.98,0.98,17.67,0.98,0,0,1.96,0,0,0,0,0.98,14.72,0,0,1.96,1753.98,0.98,0,0,0,0,1.96,0,0.98,0,162.93,0,0,0,0,4.91
 72-82,0,0.98,11.78,4.91,0,109.95,0,2.94,0,31.41,0.98,0,0,1.96,0,0,0.98,0.98,0,26.5,0,0.98,1.96,1918.17,0,0,0,0,0,0.98,0.98,0,0,134.49,0,1.96,2.94,0.98,1.96
 84-94,0,1.06,7.43,2.12,0,108.33,0,2.12,1.06,28.68,1.06,0,0,2.12,0,2.12,1.06,2.12,0,21.24,0,1.06,5.31,964.33,0,0,2.12,0,0,9.56,0,0,0,66.91,0,2.12,3.19,0,0
 96-106,0,0,13.11,3.28,0,85.24,1.09,0,1.09,34.97,2.19,0,0,1.09,2.19,1.09,0,2.19,0,26.23,0,0,2.19,907.06,0,0,2.19,0,1.09,6.56,0,0,0,37.16,0,0,2.19,2.19,1.09
108-118,0,0.77,10.72,0,0,54.38,0,0.77,2.3,19.92,0.77,0,0,1.53,1.53,0,0,0.77,0,10.72,0,1.53,2.3,954.39,1.53,0,0.77,0,0,6.13,0,0.77,0,36.77,0.77,0,0.77,0.77,1.53
120,0,0,13.72,0,1.96,66.63,0,1.96,1.96,27.44,3.92,0,0,5.88,0,0,1.96,3.92,0,17.64,1.96,1.96,1.96,1608.98,0,0,1.96,0,0,3.92,1.96,0,0,58.79,0,1.96,3.92,0,3.92
