stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,197.67,1568.17,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,110.33,1673.39,6.13,0,0,18.39,110.33,24.52,49.04,30.65,0,0,0,0
  7-9,21.03,15.77,31.54,0,60.46,28.92,512.6,28.92,218.18,0,0,0,0,0
 10-12,0,6.29,34.62,3.15,50.35,44.06,465.75,40.91,188.82,3.15,3.15,15.73,3.15,3.15
