stage,axial,blastomeres,endocrine.pancreas,eye,fast.muscle,glial,mesenchyme,neural,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,1.61,0,6.45,0,0
 48-58,0,0,0,1.15,0,0,0,5.16,0,20.08,0,0
 60-70,0,0,0,1.96,0,0,0,1.96,0.98,20.61,0,0
 72-82,0,0,0.98,0.98,0,1.96,1.96,4.91,0,10.8,0,0.98
 84-94,0,0,0,2.12,0,1.06,0,0,0,9.56,0,2.12
 96-106,0,0,0,0,0,0,0,2.19,0,2.19,0,2.19
108-118,0,0,0,0,0.77,0,0,0,0,3.06,0.77,0.77
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0
