stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
 14-21,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,4.93,0,0.82,0,0.82,0,0.82,0
 36-46,0.81,0,2.42,0,0,0.81,0,0.81,1.61,0,0.81,3.22,0,0,0.81,0,0,0.81,0
 48-58,0,0.57,0.57,0,1.15,0,0,0,0,0,0.57,3.44,0,0.57,0,0,0,2.87,0
 60-70,0,0,1.96,0,0,0,0,0,0,0.98,0,4.91,0,0.98,0,0,0,3.93,0
 72-82,0,0.98,4.91,0,2.94,0,0,0,3.93,0,0.98,7.85,0,0.98,0,0,0.98,0,0
 84-94,0,0,3.19,0,0,0,0,0,1.06,0,0,2.12,0,1.06,0,1.06,1.06,1.06,1.06
 96-106,0,0,2.19,1.09,1.09,0,0,0,3.28,0,0,5.46,0,0,0,1.09,0,0,2.19
108-118,0,0.77,2.3,0,0,0,0,0,3.06,0,0,5.36,0.77,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,9.8,0,0,0,0,0,0,0
