stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,210.85,3531.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0
  5-6,67.43,735.56,0,0,0,0,0,0,0,0,0,0,18.39,0,0,6.13,24.52,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,7.89,0,5.26,0,0,0,0,0,126.18,5.26,0,55.2,0,13.14,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,37.76,3.15,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,1,7,2,0,0,0,0,1,1,0,12,0,0,2,0,2,2,1,7,5,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,1.72,0,1.15,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0.77,0.77,0,2.3,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
