stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,1,1,0,4,4,0,0,1,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,2.46,0,0,0.82,5.75,0,0.82,1.64,2.46,0,0,0,43.51,0,0,0,0,0,4.93,0,0.82,0.82,13.95,0,0,0.82,0,1.64
 36-46,0,0,0,0.81,1.61,0,4.83,0,0,0,4.03,0,0.81,0,0,0,0,0,5.64,0,0,0,35.45,0,0,0.81,0,0,3.22,0,0,0,12.09,0,0,0,0,1.61
 48-58,0,0,0,0.57,0,0,10.33,0,0,0,7.46,0.57,0.57,0.57,0,0.57,0,0.57,13.77,0.57,1.15,0.57,40.74,0,0.57,0,0,0,4.59,0,0,0,9.75,0,0,0,0,0.57
 60-70,0,0,0,2.94,0,0,29.45,0,0.98,0,1.96,0,0,0,0,0,0,0.98,8.83,0,0,3.93,52.02,0,0,0,0,0,3.93,0,0,0,5.89,0,0,3.93,0,0.98
 72-82,0,0,0,1.96,0.98,0,22.58,0,0,0.98,12.76,0.98,0,0.98,0.98,0,0,0,14.72,0.98,0,0.98,51.05,0.98,1.96,0,0,0,4.91,0,0,0,7.85,0,0,2.94,0,0
 84-94,0,0,0,2.12,2.12,0,38.23,0,0,0,10.62,1.06,0,0,2.12,0,1.06,0,10.62,0,1.06,1.06,22.3,0,0,0,0,0,4.25,0,2.12,0,1.06,1.06,0,0,0,0
 96-106,0,1.09,0,0,1.09,0,12.02,1.09,1.09,1.09,9.84,0,0,3.28,1.09,1.09,0,0,9.84,0,0,0,17.49,0,1.09,1.09,0,1.09,5.46,0,0,0,1.09,1.09,1.09,1.09,2.19,0
108-118,0,0,0,1.53,1.53,0.77,7.66,0,0,0,5.36,0.77,0,0.77,2.3,0,0,0,6.89,0,0,0,22.21,0.77,1.53,0.77,0,0,1.53,0,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,3.92,0,0,5.88,0,0,0,3.92,1.96,1.96,7.84,3.92,0,0,0,5.88,0,0,0,19.6,0,1.96,0,0,0,1.96,0,0,0,1.96,1.96,1.96,1.96,0,0
