stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,18.4,0,0,691.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,122.73,0,213.99,0,3.15,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,1104.59,151.05,0,0,3883.36,0,6.29,3.15,28.32,352.46,0,47.2,22.03,0,0,0,0,0
 14-21,0,2,0,8,436,95,5,0,3,0,130,54,1,1,0,2,0,0,2,109,2,0,256,164,66,1,0,202,0,9,0,1008,68,10,997,1636,0,0,21,0,1
 24-34,0,0,1.64,11.49,17.24,4.1,7.39,0,3.28,9.03,140.37,6.57,0.82,0.82,0.82,0.82,0.82,0.82,3.28,140.37,0,1.64,274.17,132.16,2.46,2.46,0.82,0,0,9.85,0,2.46,8.21,5.75,79.62,1131.96,0,0,45.97,0,1.64
 36-46,0,0,0,0,8.86,0,8.06,3.22,3.22,20.95,91.85,2.42,0,0.81,0,0,3.22,0,3.22,165.97,0,5.64,187.72,102.32,3.22,0,0,0,0,5.64,0,0,5.64,6.45,0.81,1160.97,0,0,16.92,0,0.81
 48-58,0,0,0,0,3.44,0,26.97,2.87,6.31,18.94,81.48,0.57,0,0,0,0,3.44,0,0.57,176.16,0,6.89,96.97,105.58,1.15,0,0.57,0,0,2.3,0,0,1.15,5.74,0.57,802.75,0,0,10.9,0.57,1.72
 60-70,0,0,0,0,0.98,0,13.74,0,4.91,15.7,64.78,0,0,0,0,0,4.91,0.98,1.96,156.06,0,10.8,62.82,40.24,2.94,0,0,0,1.96,0.98,0,0,4.91,2.94,0,368.07,0,3.93,2.94,2.94,2.94
 72-82,0,0,0.98,0,1.96,0.98,23.56,0,4.91,23.56,120.74,4.91,0,0,0,0,1.96,0.98,2.94,153.14,0,18.65,90.31,34.36,0.98,0,0,0,0,1.96,0,0,2.94,0,0,187.5,0.98,3.93,15.71,4.91,0.98
 84-94,0,0,0,0,5.31,2.12,22.3,0,6.37,8.5,109.39,6.37,0,0,1.06,2.12,3.19,0,7.43,108.33,0,19.12,54.16,36.11,2.12,0,0,0,0,5.31,0,0,1.06,5.31,0,116.82,0,4.25,10.62,6.37,0
 96-106,0,0,0,0,2.19,1.09,16.39,0,8.74,13.11,76.5,6.56,0,0,0,1.09,3.28,1.09,1.09,103.82,1.09,12.02,50.27,38.25,1.09,0,0,0,2.19,1.09,0,0,3.28,4.37,0,48.09,0,1.09,17.49,7.65,1.09
108-118,0,0,0,0,3.83,0.77,9.19,0.77,6.13,6.89,64.34,2.3,0,0,0.77,0,4.6,0,2.3,103.41,0,15.32,49.79,28.34,0.77,0,0,0,3.06,2.3,0,0,1.53,2.3,0,33.7,0,0.77,8.43,10.72,0
120,0,0,0,0,17.64,0,3.92,0,11.76,9.8,41.16,11.76,0,0,0,0,0,0,0,88.19,0,13.72,39.2,25.48,1.96,0,0,0,0,0,0,0,9.8,0,0,39.2,0,1.96,17.64,5.88,0
