stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,2,0,0,0,0,0,0,0,2,2,17,1,0,1,0,0,1,0,1,2,0,0,0
 24-34,0,0,0,0,4.93,0,0,0.82,0,0,0,0,0,0.82,24.63,0,0,0,0,0,0,0.82,0.82,5.75,0,0.82,0.82
 36-46,0,0,0,0,8.86,0,0,0,0,0,0,0,4.83,1.61,28.2,0,0,0.81,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,8.61,0,0,1.15,0,0,0,0,3.44,0,22.38,0,0,0,0,1.15,0,0,0,4.59,0,0,0
 60-70,0,0,1.96,0,9.82,1.96,0,3.93,0,0,0,0,1.96,0.98,14.72,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,6.87,0,0.98,0.98,0,0,0,0,7.85,0.98,23.56,0,0.98,0,0,0,0,0,0,2.94,1.96,0,0
 84-94,1.06,0,1.06,2.12,9.56,0,1.06,3.19,0,0,0,0,0,0,14.87,0,0,0,0,3.19,0,0,0,1.06,0,0,1.06
 96-106,0,0,3.28,1.09,3.28,0,0,3.28,0,0,0,0,1.09,1.09,1.09,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,2.3,0.77,3.06,0.77,0.77,3.06,0,0,1.53,0,3.06,0,13.02,0,0,0,0,1.53,0,0,0,0.77,0,0.77,0
120,0,0,3.92,0,3.92,0,0,5.88,3.92,0,1.96,1.96,5.88,1.96,33.32,0,0,1.96,0,0,0,0,0,0,0,1.96,0
