stage,axial,blastomeres,eye,fin.mesenchyme,glial,gut,liver,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,39.53,289.91,0,0,0,0,0,0,0,0,13.18,0
  5-6,24.52,73.56,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,0,0,15.77,7.89,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,1,5,0,0,2
 24-34,0,0,2.46,0,0,0,0,0,4.93,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0.81,6.45,0,0,0
 48-58,0,0,1.15,0,0.57,0,0,0,4.59,0,0,1.15
 60-70,0,0,0.98,0,0.98,0,0.98,0.98,4.91,0,0,0
 72-82,0,0,0.98,0.98,0,0.98,0.98,0.98,1.96,0,0,2.94
 84-94,0,0,1.06,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,2.19,2.19,0,1.09,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,1.96,0,0,0
