stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,796.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,23.66,0,7.89,0,0,160.35,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,888.51,15.77,0,0,194.52,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,25.18,0,25.18,0,6.29,110.14,0,0,0,0,0,47.2,0,0,0,0,3.15,0,0,0,0,761.57,22.03,0,0,210.85,0,0,0,0,22.03,0,0,3.15,0,0,0,0
 14-21,0,0,5,3,22,11,50,0,0,0,30,1,5,0,0,0,0,1,0,21,0,10,580,3,1,11,3,0,0,1,22,31,1,49,204,0,0,0,0
 24-34,0,0,3.28,0.82,1.64,0,42.68,0,0,0,27.09,0.82,1.64,0,0,0.82,0.82,0,0,22.16,0,4.1,327.52,5.75,3.28,9.03,0.82,0,0.82,0,0,4.1,0,3.28,113.28,0,0,0,0
 36-46,0,0,1.61,0,0.81,0,41.89,0,0,0,10.47,0,0,0,0,0.81,0.81,0,0,24.17,0,5.64,206.25,4.03,10.47,2.42,0,0,0,0,0,3.22,0,0,71.7,0,0,0,0
 48-58,0,0,1.15,0,0,0,91.81,0,0,0.57,11.48,0,0,0,1.15,0,1.15,0,0,5.74,0,0,87.22,0,5.16,3.44,0,0,0.57,0,0.57,2.3,0,0,39.02,0,0,0,0
 60-70,0,0,1.96,0,0,0,236.55,0,0,0,10.8,0,0,0,0,0,2.94,0,0,9.82,0,2.94,117.78,0,2.94,7.85,0,0,0,0,0,0,0,0,20.61,0,0,0,0
 72-82,0,0,2.94,0,0.98,0,502.61,0,0,0.98,24.54,0,0.98,0,0,0,3.93,0,0,13.74,0,0.98,145.29,0.98,9.82,17.67,0,0.98,1.96,0,0,0.98,0,0,19.63,0.98,1.96,1.96,0.98
 84-94,0,0,2.12,0,3.19,0,525.71,1.06,0,0,12.74,1.06,0,0,0,0,4.25,0,1.06,7.43,0,1.06,95.58,1.06,8.5,23.36,0,0,1.06,0,0,2.12,0,0,10.62,1.06,1.06,0,0
 96-106,0,0,4.37,0,2.19,0,331.13,1.09,2.19,0,33.88,3.28,0,0,0,0,10.93,1.09,0,8.74,0,2.19,97.26,1.09,14.21,25.14,0,0,3.28,0,0,1.09,0,0,8.74,5.46,0,1.09,0
108-118,0,0,1.53,0,1.53,0.77,232.85,0,0.77,3.83,19.92,1.53,0,0.77,0.77,0,6.89,0,0,4.6,0.77,0.77,128.68,0,7.66,8.43,0,0,0,0,0,2.3,0,0,6.89,11.49,0.77,0.77,0
120,0,0,1.96,0,1.96,0,148.94,0,0,0,17.64,1.96,0,1.96,1.96,0,7.84,0,0,1.96,0,1.96,125.43,1.96,3.92,11.76,0,0,1.96,0,0,1.96,0,0,3.92,1.96,3.92,0,0
