stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,46,29,0,13,0,12,0,11,1,0,0,2,0,1,1,1,22,0,0,10,327,3,3,3,4,0,1,24,3,1,24,106,0,0,1,0,1
 24-34,0,2.46,10.67,1.64,0,39.4,0,17.24,0,6.57,0.82,0,0,22.16,0.82,0,0,0,23.8,2.46,0,15.6,502.36,2.46,9.03,2.46,0,0,5.75,0,4.1,1.64,4.93,115.74,0,0,8.21,0,0.82
 36-46,0,0,7.25,0.81,0,102.32,1.61,4.03,1.61,7.25,0,0,0,15.31,0,0.81,0,0.81,29.81,0,0.81,10.47,752.5,0,7.25,0.81,0,0,6.45,0,0.81,0.81,0,166.77,0,0,5.64,0,4.03
 48-58,0.57,0,2.3,0,0,165.83,0.57,4.02,0.57,28.69,0,0.57,0,1.15,0.57,0,0.57,0.57,52.22,0.57,2.3,7.46,578.4,1.15,3.44,2.87,0,0,5.74,0,0,0.57,0,100.42,0,0,6.89,0,5.16
 60-70,0,0,8.83,0.98,0,224.77,0,0,0.98,35.33,0,0.98,0.98,0,0.98,1.96,0,0,73.61,0,2.94,4.91,607.56,0.98,3.93,0.98,0,0.98,3.93,0,0,0,0,63.8,0,0.98,3.93,1.96,3.93
 72-82,0,0,7.85,4.91,0,189.46,0,0.98,3.93,28.47,0.98,0.98,0.98,1.96,0.98,0,0.98,0,116.82,2.94,6.87,3.93,444.69,0,7.85,2.94,0,0,1.96,0,0.98,0,0,39.27,2.94,1.96,6.87,7.85,3.93
 84-94,1.06,0,9.56,1.06,0,107.27,0,2.12,2.12,18.05,1.06,0,3.19,9.56,5.31,6.37,0,1.06,110.45,0,4.25,10.62,196.48,1.06,0,4.25,0,0,6.37,0,2.12,0,0,19.12,1.06,2.12,5.31,9.56,2.12
 96-106,3.28,0,10.93,6.56,0,95.08,0,1.09,5.46,22.95,5.46,3.28,2.19,5.46,2.19,1.09,1.09,0,106.01,1.09,2.19,6.56,170.48,1.09,9.84,9.84,0,1.09,7.65,0,2.19,0,0,5.46,1.09,2.19,8.74,19.67,2.19
108-118,0,0,18.38,2.3,0.77,79.66,0.77,4.6,3.83,21.45,3.06,0.77,3.83,5.36,6.13,1.53,0.77,0.77,76.6,0,3.83,6.13,245.87,1.53,6.13,0.77,0,0.77,4.6,0,1.53,0.77,0,7.66,2.3,0,3.83,13.79,5.36
120,0,0,13.72,3.92,0,48.99,0,0,1.96,11.76,1.96,0,5.88,5.88,0,1.96,0,0,94.07,3.92,0,5.88,162.66,1.96,0,3.92,0,1.96,3.92,0,1.96,1.96,0,0,0,1.96,7.84,29.4,0
