stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,118.6,3465.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,527.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,0,0,10.51,0,0,23.66,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,168.24,73.6,0,0,55.2,55.2,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,62.94,0,0,12.59,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,308.4,198.26,0,0,62.94,40.91,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,7,57,0,4,0,0,0,0,6,0,0,0,12,0,0,0,1,5,0,0,19,173,5,2,6,300,2,1,1,0,2,62,0,0,0,0
 24-34,0,0,1.64,17.24,34.48,0,4.93,0,3.28,0,0.82,0.82,0,0,0,20.52,0,4.93,1.64,0.82,15.6,0,1.64,121.49,190.44,33.66,15.6,0,256.93,0,0,1.64,1.64,0.82,92.76,0,0,0,0
 36-46,0,0,0,0,11.28,0,6.45,0.81,1.61,0,3.22,0.81,0.81,0.81,0,7.25,0,2.42,0,0.81,11.28,0,4.03,116.82,185.3,36.26,5.64,0,226.39,0,0,0.81,1.61,0,32.23,0,0,0,0
 48-58,0,0,0,0.57,17.21,0,9.75,0,3.44,0.57,1.72,1.72,2.87,1.15,0,8.03,0.57,3.44,0,5.16,20.08,0,0,61.4,84.35,24.67,1.15,0,184.77,0,0,0,0,0,15.49,0,0,0,0.57
 60-70,0,0,0,0,31.41,0,15.7,0,3.93,0,0.98,3.93,2.94,0,0,7.85,0,3.93,0,4.91,21.59,0.98,0.98,34.35,42.21,29.45,1.96,0,249.31,0,0,0.98,1.96,0,5.89,0.98,0,0,0.98
 72-82,0,0,8.83,0,36.32,0,14.72,0,2.94,0,3.93,16.69,3.93,0,0,14.72,0,3.93,0,6.87,38.28,0,0,37.3,28.47,39.27,4.91,0,302.35,0,0,0,0.98,0,3.93,14.72,0,1.96,0
 84-94,1.06,0,4.25,0,75.4,2.12,16.99,1.06,14.87,0,1.06,53.1,4.25,0,1.06,29.74,0,4.25,1.06,7.43,33.99,1.06,1.06,40.36,39.3,36.11,7.43,0,845.38,0,0,1.06,1.06,0,2.12,98.77,0,2.12,0
 96-106,0,0,3.28,0,102.73,1.09,15.3,2.19,14.21,0,3.28,89.61,0,0,1.09,30.6,0,5.46,0,8.74,40.44,0,0,38.25,26.23,64.48,13.11,0,704.89,0,0,1.09,0,0,4.37,143.16,0,2.19,0
108-118,0.77,0,2.3,0.77,104.94,0,8.43,0.77,16.85,0,3.83,89.62,0.77,0.77,3.83,29.87,0,3.06,0,11.49,45.96,0.77,1.53,25.28,29.87,33.7,6.13,0,543.83,0,0,2.3,0.77,0,3.83,172.34,0,2.3,0.77
120,0,0,1.96,0,74.47,0,11.76,0,23.52,0,1.96,35.28,0,0,0,25.48,0,1.96,1.96,5.88,31.36,0,0,23.52,27.44,27.44,3.92,0,321.4,1.96,0,0,0,0,3.92,58.79,1.96,0,0
