stage,blastomeres,epidermis,eye,fast_muscle,glial,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,27,3,0,0,8
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0.82,0,4.93,0,0.82,0,4.93,1.64,0,1.64,35.3
 36-46,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,4.03,0,0,0,1.61,0.81,0.81,0.81,54.79
 48-58,0,0,0.57,0.57,0.57,0,0.57,0,0,0,0,0.57,1.15,4.02,0,0.57,0,0,0,0,0,63.12
 60-70,0,0.98,2.94,0,9.82,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0,0,0,0.98,55.95
 72-82,0,0,3.93,0.98,26.5,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,24.54
 84-94,0,0,7.43,0,25.49,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,22.3
 96-106,0,2.19,6.56,0,31.69,0,0,1.09,0,0,0,0,0,9.84,0,0,0,0,0,0,0,26.23
108-118,0,0,0.77,0,41.36,0,0,0,3.06,0.77,0,1.53,0,3.06,0,0.77,0,0,0,0,0.77,28.34
120,0,1.96,0,0,25.48,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,7.84
