stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,6.13,367.78,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,12.26,6.13,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,97.26,5.26,0,28.92,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,47.2,3.15,0,28.32,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,8,0,1,0,0,1,0,0,0,2,2,0,10,2,0,0,1,16,0,1,3,4,1,1
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,3.28,0,6.57,0,0,0,6.57,0,0,0,0,2.46,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,2.3,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,2.94,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0,0,5.89,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,3.19,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,4.37,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,2.3,4.6,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
