stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,13,1,0,1,0,1,0,0,2,0,0,0,0,0,1,0,17,0,0,6,20,0,2,0,1,0,0,0,1,0,1,2,6,0,0,0,0,0
 24-34,0.82,4.1,1.64,0,0,2.46,0,0,0.82,0,0.82,0.82,2.46,0,0,0.82,0,0,7.39,0,0,5.75,64.03,4.1,10.67,2.46,0,0,2.46,0,0,1.64,0,0.82,15.6,0,0,1.64,0,0
 36-46,1.61,0,1.61,1.61,0,4.03,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0,8.06,0,0.81,2.42,99.9,5.64,18.53,2.42,0,0.81,1.61,0,0,0,0,0,21.75,0,0,0,0.81,0.81
 48-58,1.15,0,0.57,0,0,22.38,0,0,0.57,2.3,0,0,0.57,0,1.72,0,0.57,0.57,12.62,0,1.72,7.46,161.81,3.44,12.62,6.31,0,1.15,0.57,0,0,0,0.57,0,18.36,0,2.3,0.57,0.57,0.57
 60-70,2.94,0,0,0,0,83.43,0.98,0.98,0,6.87,0.98,0,0,0,3.93,0,0,0,21.59,0,2.94,8.83,329.79,7.85,10.8,9.82,0,6.87,0,0,0,1.96,0,0,31.41,0,1.96,0.98,0.98,0.98
 72-82,0.98,0,5.89,0,11.78,178.66,0.98,0.98,0.98,12.76,0.98,0,1.96,0,9.82,0,0.98,0.98,52.03,0,8.83,5.89,535.99,2.94,27.49,23.56,0,10.8,0,0,0,0.98,0,0,30.43,0,7.85,1.96,8.83,3.93
 84-94,5.31,0,7.43,2.12,18.05,100.89,1.06,1.06,2.12,16.99,0,0,1.06,0,14.87,1.06,3.19,2.12,36.11,0,9.56,5.31,281.44,3.19,18.05,20.18,0,12.74,3.19,0,0,0,1.06,0,20.18,1.06,4.25,1.06,7.43,1.06
 96-106,6.56,0,6.56,5.46,40.44,153,2.19,0,2.19,20.76,3.28,1.09,3.28,3.28,12.02,1.09,3.28,1.09,36.06,2.19,14.21,1.09,334.41,1.09,28.41,32.79,0,30.6,4.37,1.09,0,4.37,0,0,13.11,1.09,1.09,2.19,4.37,0
108-118,3.83,0.77,5.36,2.3,83.49,137.87,0.77,0.77,2.3,9.19,1.53,0,0,1.53,22.98,0,5.36,3.06,24.51,0.77,8.43,5.36,384.51,3.06,19.15,27.57,0,22.98,0.77,0,0,0.77,0,0,11.49,0.77,0,3.06,4.6,0
120,0,0,13.72,1.96,27.44,127.39,0,3.92,1.96,19.6,0,0,0,1.96,7.84,0,3.92,1.96,27.44,0,3.92,5.88,472.31,3.92,7.84,27.44,0,13.72,3.92,0,0,0,0,0,17.64,1.96,0,1.96,0,1.96
