stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,65.89,1238.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,36.78,557.8,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,7.89,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,233.96,5.26,0,0,63.09,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,3.15,22.03,0,0,0,6.29,0,0,0,0,0,0,0,154.2,3.15,0,0,50.35,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,2,3,1,3,0,1,0,0,0,1,0,0,4,0,2,56,0,0,1,2,2,0,4,1,6,16,0,0,0
 24-34,0,0,0,3.28,0.82,31.19,0.82,7.39,0,0,0,0,0,0,18.06,0,9.03,196.18,0,0.82,2.46,0,1.64,0,0,0,0.82,46.79,0,1.64,0
 36-46,0,0,0,1.61,0.81,93.46,0,4.03,0,0,0,0,0,0,10.47,0.81,2.42,126.49,0,1.61,0,0,0.81,0,0,0,0,31.42,0,0.81,0
 48-58,0,0,0,1.15,1.15,82.63,0.57,0,0,0,0,0,0,0,12.62,0.57,1.15,62.54,0,0,0,0,0,0,0,0,0,7.46,0,0.57,0
 60-70,0,0,0,1.96,0,65.76,0,5.89,0,0,0.98,0,0,0,11.78,0.98,0.98,41.22,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,1.96,0,16.69,0,3.93,0,0,0,0,0,0.98,6.87,0.98,2.94,16.69,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,2.12,0,11.68,0,6.37,0,0,0,0,0,1.06,14.87,2.12,2.12,15.93,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,7.65,0,2.19,0,0,0,0,0,1.09,2.19,0,1.09,7.65,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0.77,1.53,19.15,0,0.77,0.77,0,1.53,0,0,0,0.77,1.53,0,12.26,0,0,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,1.96,5.88,25.48,0,1.96,0,0,0,0,1.96,0,11.76,0,0,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0
