stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,70.98,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,28.32,0,0,0,22.03,0,0,6.29,0,0,0,0
 14-21,0,0,0,1,1,0,10,1,0,0,0,0,0,0,0,9,0,1,5,2,0,1,23,0,76,0,0
 24-34,0,0,0,1.64,0,0,18.88,0,0,0,0,0,0.82,0.82,0,9.03,0.82,9.03,0,0,0,0,10.67,0.82,34.48,0,0
 36-46,0,0,0,0,0,1.61,8.06,0,0,0.81,0,0,0.81,2.42,0.81,17.72,0,8.06,0,0,0,0,3.22,0,30.62,0,0
 48-58,0,0,0,0,0,0,9.75,0,0,0,0.57,0,0,0.57,0,17.79,0,8.61,0.57,0,0,0,1.15,0,21.23,0,0.57
 60-70,0,0,0,0,0,0.98,7.85,0,0,0.98,0,0,0,6.87,0,30.43,0,8.83,0,0,0,0,3.93,0,11.78,0,0
 72-82,0,0,0,0,0,4.91,14.72,2.94,0,0,0,0,0,5.89,0,26.5,0,18.65,3.93,0,0,0,0,0,5.89,0,0.98
 84-94,0,1.06,0,0,0,2.12,6.37,2.12,0,0,1.06,0,0,2.12,0,10.62,0,7.43,6.37,0,0,0,1.06,0,9.56,1.06,0
 96-106,0,1.09,0,0,0,1.09,2.19,3.28,0,0,2.19,1.09,1.09,2.19,0,10.93,0,13.11,8.74,0,0,0,1.09,0,2.19,0,0
108-118,0,0,0.77,1.53,0.77,3.06,3.83,0,0,0.77,3.06,0,0,2.3,0.77,9.19,0,9.96,3.83,0,0,0,1.53,0,6.13,0,0
120,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,7.84,0,15.68,1.96,0,0,0,5.88,0,3.92,0,0
