stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,337.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,18.88,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,40,2,0,0,0,0,5,3,0,1,0,0,0,0,0,0,15,0,0,6,141,12,5,4,1,0,1,1,8,7,8,110,0,0,3,0,0
 24-34,0,0,1.64,0.82,1.64,0,8.21,0,2.46,0,3.28,0.82,0.82,0.82,0.82,0,0,2.46,0,1.64,27.91,0,0,10.67,322.6,0.82,10.67,8.21,0,0,7.39,0,0,6.57,3.28,117.38,0,0,10.67,0,0
 36-46,0,0,0.81,0,2.42,0,37.87,0.81,0,3.22,12.89,0,0,0.81,0,0,0,1.61,0,0,29.81,0,0.81,10.47,572.03,0,10.47,7.25,0,0,4.03,0,0,2.42,0,141.8,0,0,0,0,0
 48-58,0,0,0,0.57,4.02,0.57,160.09,0,1.15,1.15,36.72,0,0,1.15,0,0,0,1.15,0,1.15,67.14,0,2.3,9.75,749.96,1.15,6.89,8.03,0,0.57,4.02,0,0,2.3,0,113.04,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,305.25,0,1.96,2.94,59.87,0,0,0,0,0.98,0,2.94,0,0.98,103.06,0,2.94,11.78,882.39,0,3.93,14.72,0,0.98,1.96,0,0,0,0,99.13,0,0.98,0,0,0
 72-82,0,0,3.93,0,14.72,3.93,363.21,0.98,0,0.98,95.22,2.94,0,2.94,0,0,0,6.87,0,0.98,173.75,0.98,5.89,6.87,869.75,0.98,6.87,37.3,0,0,1.96,0,0,2.94,0,67.73,2.94,2.94,7.85,3.93,1.96
 84-94,0,0,1.06,0,26.55,0,235.77,1.06,0,5.31,72.22,5.31,0,1.06,1.06,0,0,10.62,0,0,123.2,0,3.19,11.68,483.23,0,4.25,53.1,0,0,0,0,0,2.12,0,39.3,5.31,4.25,0,6.37,1.06
 96-106,0,0,2.19,0,19.67,2.19,186.88,0,1.09,5.46,73.22,4.37,0,3.28,2.19,3.28,0,24.04,1.09,0,143.16,2.19,12.02,10.93,357.36,0,9.84,66.66,0,2.19,5.46,0,0,2.19,0,26.23,5.46,1.09,5.46,1.09,1.09
108-118,0,0,3.83,0.77,11.49,0.77,152.43,0,0,3.06,67.4,5.36,0,0.77,1.53,0.77,1.53,16.85,0,0,129.45,0,3.06,5.36,541.54,3.06,8.43,40.6,0,1.53,0.77,0,0,0.77,0,13.02,2.3,0,1.53,3.06,0
120,0,0,0,0,21.56,0,125.43,1.96,0,7.84,76.43,9.8,0,1.96,3.92,1.96,0,13.72,1.96,0,78.39,0,1.96,11.76,407.64,1.96,3.92,27.44,0,0,1.96,0,0,0,0,11.76,3.92,1.96,3.92,1.96,1.96
