stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.84,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,44.06,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,248.61,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,87,0,0,81,0,0,15,0,1,7,0,0,0,0,0,40,0,0,28,952,0,0,1,1,0,0,2,7,150,0,0,1,0,0
 24-34,0,0,0.82,65.67,0,0,123.95,5.75,0,34.48,0,0,4.1,1.64,0,0,0,0,27.91,0.82,0,17.24,1179.57,0.82,8.21,0.82,0,0,1.64,4.1,1.64,241.33,0,0,0,0,0
 36-46,0,0,0,46.73,0,0,103.93,3.22,0,232.03,0,0,2.42,0.81,0,0,0,0,53.98,0.81,0.81,11.28,1080.4,0,8.06,0.81,0,0,0,2.42,0,402.03,0,0,3.22,0,1.61
 48-58,0,0,0.57,44.18,1.15,0,49.35,6.89,0.57,432.08,0,0,2.3,2.87,0,0,0,0.57,112.47,0,1.72,9.18,309.85,0.57,6.89,0.57,0,0,1.15,0.57,0,313.3,0,2.3,0.57,0,0
 60-70,0,0,0.98,56.93,0,0,42.21,2.94,5.89,611.49,0,0,3.93,4.91,3.93,0,0.98,0,157.04,0,2.94,15.7,123.67,0,8.83,0,0,6.87,0.98,0,0,184.53,1.96,9.82,0.98,0,1.96
 72-82,0,0,0,61.84,0.98,0,69.7,3.93,3.93,841.28,3.93,0,1.96,6.87,0.98,0,0,0,208.11,0.98,6.87,9.82,102.09,0,9.82,1.96,0,5.89,0,0.98,0,46.14,5.89,10.8,0,2.94,0.98
 84-94,0,0,0,98.77,0,0,72.22,3.19,4.25,551.2,2.12,0,2.12,15.93,3.19,1.06,1.06,0,134.88,1.06,7.43,9.56,66.91,0,14.87,0,0,10.62,1.06,0,0,58.41,6.37,4.25,1.06,2.12,0
 96-106,0,0,0,150.81,0,0,69.94,4.37,8.74,578.12,3.28,0,3.28,15.3,8.74,0,1.09,0,193.43,0,8.74,10.93,88.52,0,18.58,1.09,0,15.3,3.28,0,0,30.6,6.56,4.37,2.19,4.37,0
108-118,0,0,0,147.83,0,0.77,28.34,4.6,6.89,500.17,10.72,0,2.3,8.43,18.38,0,0.77,0.77,159.32,3.06,5.36,8.43,67.4,0,6.89,0.77,0,19.15,0.77,1.53,0,18.38,5.36,8.43,0.77,2.3,0
120,0,0,1.96,80.35,1.96,0,35.28,3.92,0,431.15,1.96,0,0,11.76,5.88,1.96,3.92,0,117.59,0,0,5.88,58.79,0,1.96,3.92,0,11.76,1.96,0,0,15.68,3.92,0,0,0,0
