stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7,6,0,3,0,1,0,0,0,0,2,0,0,0,0,2,1,7,0,0,6,69,0,0,0,0,0,12,0,2,14,17,0,0,1,0,0
 24-34,0,3.28,0,0,11.49,0,0.82,0,2.46,0,0,0,0.82,1.64,0,1.64,2.46,0.82,14.78,0,0,9.03,100.97,3.28,1.64,2.46,0,4.1,0,0.82,2.46,3.28,26.27,0,0,1.64,0,4.1
 36-46,0,0.81,0.81,0,10.47,0,0.81,0,7.25,0,0,0,2.42,0,1.61,0,0,3.22,10.47,0,1.61,4.83,58.01,0,1.61,1.61,0,3.22,0,0,0,0,18.53,0,0,1.61,0,1.61
 48-58,0,1.15,0,0,23.53,0,1.15,0.57,12.62,0.57,0.57,0.57,0,0,0,0,0.57,1.72,18.94,0.57,1.72,2.87,49.35,0,0.57,0.57,0,3.44,0,0,0,0,16.07,0,0,1.15,0,1.72
 60-70,0,2.94,0,0,25.52,0.98,0,0.98,10.8,0.98,0,0.98,4.91,0.98,1.96,0,0.98,0,21.59,0,0,0,43.19,0.98,2.94,0,0,5.89,0,0,0,0,6.87,0,0,0.98,0,0.98
 72-82,0.98,2.94,1.96,0,34.36,0,0,0.98,12.76,1.96,0,0.98,2.94,0.98,1.96,0.98,1.96,0.98,43.19,0,0.98,3.93,40.25,0,0.98,0.98,0,2.94,0,0.98,0,0,2.94,0.98,1.96,3.93,0.98,0.98
 84-94,0,5.31,2.12,0,28.68,0,1.06,1.06,10.62,2.12,0,3.19,10.62,2.12,0,1.06,1.06,0,24.43,0,0,12.74,27.61,2.12,2.12,1.06,1.06,18.05,0,1.06,0,0,4.25,0,0,1.06,1.06,1.06
 96-106,0,9.84,2.19,1.09,30.6,0,1.09,2.19,6.56,1.09,0,0,4.37,1.09,0,1.09,2.19,0,29.51,0,0,2.19,25.14,1.09,1.09,4.37,0,14.21,0,1.09,0,0,1.09,1.09,0,4.37,2.19,2.19
108-118,0,7.66,1.53,2.3,19.15,0,2.3,0.77,9.96,1.53,0,1.53,5.36,2.3,3.06,0.77,3.06,0,24.51,0.77,0.77,3.06,34.47,0,0.77,3.83,0,8.43,0,0.77,0,0,2.3,0,0.77,3.83,0,2.3
120,0,9.8,3.92,0,9.8,0,1.96,1.96,5.88,3.92,0,0,9.8,0,0,1.96,9.8,0,19.6,1.96,0,7.84,33.32,0,1.96,0,0,15.68,0,0,0,0,1.96,0,0,3.92,1.96,1.96
