stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,764.32,12321.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.54,0,0,0,0,0,0,0,0
  5-6,717.17,6577.1,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,171.63,12.26,0,42.91,0,153.24,0,0,0,0,0,0,0,0
  7-9,55.2,36.8,102.52,0,0,136.69,0,0,0,0,39.43,0,0,0,0,0,0,0,1558.83,57.83,0,599.35,0,5.26,7.89,0,0,0,0,0,0,0
 10-12,0,9.44,18.88,0,6.29,75.53,0,0,0,0,15.73,0,0,0,0,0,0,0,361.9,12.59,0,154.2,0,0,3.15,0,9.44,0,3.15,0,0,0
 14-21,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,17,1,0,0,0,0,0,2,0,5,3,0,0,0
 24-34,0,0,0,6.57,0,0,0.82,0,0,0,0,0.82,0,0.82,1.64,7.39,0,1.64,9.03,0.82,0.82,0,0,0.82,0,0,0,0,4.1,0,0,0
 36-46,0,0,0,2.42,0.81,0.81,0.81,0,1.61,0,0,0.81,0,0.81,0,10.47,0,1.61,12.89,0,2.42,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,1.15,0,0,0,0.57,0.57,0.57,0,0.57,0,0,0,10.9,0,2.3,5.74,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0.98,0.98,0,0,0,0,0,4.91,0.98,1.96,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,0.98,1.96,0.98,0,1.96,0,0,0.98,0,0.98,0,6.87,1.96,0.98,2.94,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,4.25,2.12,0,2.12,0,0,0,1.06,0,2.12,1.06,1.06,1.06,1.06,0,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,2.19,2.19,0,1.09,1.09,0,0,1.09,1.09,0,10.93,0,1.09,0,0,3.28,0,1.09,0,0,0,0,0,1.09,0,0,1.09
108-118,0,0,0,1.53,0,0.77,0,1.53,0,2.3,0,0,0,0,0.77,13.02,0.77,0,4.6,0,0,0,3.06,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96
