stage,axial,blastomeres,epidermis,eye,glial,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,0,0,0,0,9.85,0,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,0.81,3.22,4.03,0,0,1.61,1.61,0.81,9.67,0,0,0,0,0,7.25,0,0.81,0,0
 48-58,0,0,0,1.72,3.44,0,0,4.02,1.15,0,13.77,0,0,0,0,0,10.33,0,0,0,0.57
 60-70,0,0,0,2.94,2.94,0,0,0.98,0.98,0,9.82,0,0,0,0,0,6.87,0,0,0,0
 72-82,0,0,0.98,7.85,2.94,0,0,1.96,0,0,17.67,0,0,0,0,0,8.83,0.98,0,0,0
 84-94,0,0,0,2.12,1.06,0,0,1.06,0,0,8.5,0,0,0,0,0,5.31,0,0,1.06,0
 96-106,0,0,0,14.21,4.37,0,0,1.09,2.19,0,8.74,0,0,1.09,0,0,5.46,0,0,1.09,0
108-118,0,0,0,3.83,1.53,0.77,0,0.77,0.77,0,8.43,0.77,0,0,0.77,0,0.77,0,0.77,0,0
120,0,0,1.96,3.92,3.92,0,1.96,0,0,0,15.68,0,0,0,0,0,1.96,0,0,0,0
