stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,ionocyte,lateral.line,mesenchyme,neural,notochord,periderm,spinal.cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,45,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,0,4.1,110.82,0,1.64,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,2.42,118.43,0,0,0,0
 48-58,0.57,0,0,0,2.87,0,0.57,0.57,0,1.15,2.87,88.37,0,0,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,0,0,0.98,0.98,57.91,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0.98,43.19,0,0,0,0
 84-94,1.06,0,0,0,2.12,1.06,0,0,0,0,1.06,58.41,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,2.19,2.19,57.92,0,1.09,0,0
108-118,0,0.77,0.77,0.77,0,1.53,0,0,0,0.77,1.53,44.43,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,50.95,0,0,0,0
