stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,7.39,0,0,0,0,0,0,0,22.98,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,6.45,0,0,2.42,0,0,0,0,25.78,0,0,0.81,0,0.81,2.42,0,0,0
 48-58,0,0,11.48,0,0,10.33,0,0.57,1.72,0,27.54,0,0.57,0,0,0.57,8.61,0,0.57,0
 60-70,0,0,19.63,0,0,8.83,0,0.98,1.96,0,42.21,0.98,0,0.98,0,0,8.83,0,0,0
 72-82,0,0.98,21.6,0,0,3.93,0,0,2.94,0,39.27,0,0.98,0.98,0,0,2.94,0.98,0,0.98
 84-94,0,1.06,13.81,1.06,1.06,4.25,1.06,0,1.06,1.06,13.81,0,0,1.06,0,1.06,1.06,0,0,1.06
 96-106,0,4.37,10.93,0,0,2.19,0,1.09,1.09,0,8.74,0,1.09,0,0,0,0,0,0,1.09
108-118,0,2.3,11.49,0,0,1.53,0,1.53,0.77,0.77,12.26,0,0.77,2.3,0,1.53,0,0.77,0,0
120,0,0,7.84,0,0,3.92,0,0,0,0,17.64,0,0,0,0,0,0,0,0,0
