stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,2,0,0,1,0,17,0,0,0
 24-34,0,2.46,0.82,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,210.14,17.24,0,0,0.82,0,71.41,0,0.82,0
 36-46,0,0.81,0,0,8.86,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,432.64,21.75,0.81,0,0.81,0.81,128.91,0,0,0
 48-58,0,0.57,1.72,0,37.3,0,0,5.16,0,0,0,0,0,1.15,0,0.57,1.15,0,0,0.57,499.78,14.35,0.57,0,1.15,0,102.71,0,0,0.57
 60-70,0,2.94,0.98,0,160.97,0,0,6.87,0,0,0.98,0,0,0,0,0,2.94,0,0.98,0,760.68,18.65,0.98,0,1.96,0,119.75,0,0,0
 72-82,0,6.87,4.91,1.96,265.05,0,0,16.69,6.87,0,0,0,0,0,0,0.98,6.87,0,0.98,0,765.7,33.38,4.91,0,0.98,0.98,84.42,0,0,2.94
 84-94,0,4.25,4.25,0,151.87,0,0,12.74,2.12,0,0,1.06,1.06,0,0,0,4.25,0,0,1.06,344.1,18.05,8.5,0,2.12,0,24.43,0,1.06,1.06
 96-106,0,1.09,5.46,1.09,184.69,0,0,17.49,4.37,1.09,2.19,0,1.09,0,0,0,7.65,1.09,0,0,318.02,28.41,10.93,0,1.09,0,13.11,3.28,2.19,1.09
108-118,0,2.3,5.36,0,122.55,0,0.77,13.02,0.77,0,0,0,0,0,0.77,0,6.13,0,0.77,0.77,388.34,26.81,8.43,0,2.3,0,11.49,2.3,0,0
120,0,0,5.88,0,92.11,1.96,0,15.68,1.96,0,0,0,0,0,0,0,7.84,0,0,0,335.12,13.72,5.88,0,0,0,9.8,0,1.96,0
