stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0
 14-21,0,2,4,3,1,5,0,0,0,0,0,3,0,0,5,0,1,3,0,1,8,18,0
 24-34,0,0,2.46,0,3.28,1.64,0,0,0,0,0,0,0,0.82,0.82,0,3.28,0.82,0,0,4.93,9.85,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.42,2.42,0.81
 48-58,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0.57,0,0,1.72,0,0,0,6.31,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0.98,2.94,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,3.93,0,0,0.98,0,0.98,0,0,0,0.98,0,4.91,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,4.25,6.37,0,0,2.12,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0,3.28,5.46,0,0,2.19,1.09,0
108-118,0,0,0,0,0,1.53,0,0,0,1.53,0.77,0.77,0,0,0,0,2.3,1.53,0,0,1.53,0,0
120,0,0,0,0,1.96,0,0,1.96,0,5.88,0,0,0,0,1.96,0,0,1.96,0,0,1.96,1.96,0
