stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,3.15,3.15,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,4.93,0,0,0,0,0,0,0,2.46,1.64,0,0,0.82,5.75,0,0,0.82,0.82,0,0,0
 36-46,0,3.22,0,2.42,0.81,0,0,0,0,0.81,0.81,0,0,0,3.22,0,0,0,0,0,0,0
 48-58,0,5.16,0,0.57,0.57,0.57,0,5.74,0,1.15,0.57,1.15,0,1.15,4.59,0,0,0,1.15,0,0,0
 60-70,0,9.82,0,9.82,0,0,0,0.98,0,5.89,2.94,0,0,0,2.94,0,0,0,0,0.98,0,0
 72-82,0,21.6,0,5.89,3.93,0,0,0,0,4.91,0.98,0.98,0,0,4.91,0,0,0.98,0.98,0.98,0,0
 84-94,0,31.86,0,5.31,7.43,1.06,3.19,1.06,0,6.37,1.06,1.06,0,0,3.19,0,0,5.31,1.06,1.06,0,1.06
 96-106,0,43.71,0,2.19,5.46,0,2.19,0,1.09,7.65,4.37,3.28,0,0,7.65,0,0,15.3,0,0,0,2.19
108-118,0,33.7,6.89,1.53,13.02,0,4.6,0,1.53,7.66,2.3,1.53,0,0,5.36,0,0,9.19,0,0,0,0
120,0,41.16,0,0,0,0,1.96,0,1.96,13.72,0,0,1.96,1.96,1.96,0,0,25.48,0,0,1.96,0
