stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,10.51,0,0,31.54,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,91.26,6.29,0,0,47.2,0,9.44,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,47,7,0,0,0,0,2,0,0,2,4,2,0,0,0,0,2,0,0,5,5,4,4,2,10,0,38,6,2,3,6,12,0,0,5,0,0
 24-34,0,0,0,1.64,49.25,0,0,1.64,0,8.21,2.46,2.46,0,1.64,10.67,12.31,0,0.82,0.82,0,2.46,4.93,0.82,0,48.43,1.64,12.31,6.57,0,0,179.77,0,1.64,0.82,3.28,6.57,0,0,29.55,0,0
 36-46,0,0,0,0,16.92,0,0,1.61,0,5.64,0,3.22,0,4.03,11.28,12.89,0,1.61,0,2.42,3.22,3.22,4.83,0,66.06,0,13.7,4.83,0,0.81,168.38,0,1.61,0,0,6.45,0,0,12.09,0,0.81
 48-58,0,0,0,0,16.07,0,0,1.72,0,7.46,7.46,0.57,1.72,2.3,14.35,6.89,0,2.3,0,3.44,2.87,2.87,7.46,0.57,39.59,0,18.36,5.74,0,1.15,140.01,0,2.3,0,0,4.02,0,1.15,11.48,0,0.57
 60-70,0,0,0,0,24.54,0,0,4.91,0.98,11.78,11.78,3.93,1.96,3.93,8.83,6.87,0.98,1.96,0,2.94,8.83,4.91,8.83,3.93,43.19,0,17.67,1.96,0,0,135.45,0,0.98,0,0,1.96,0.98,7.85,9.82,0.98,0
 72-82,0,0,0,0,25.52,5.89,0,9.82,1.96,2.94,15.71,21.6,1.96,3.93,23.56,8.83,0,2.94,0,3.93,15.71,5.89,18.65,2.94,53.01,0,31.41,7.85,0,0,105.04,0,2.94,0,0,0,6.87,8.83,26.5,9.82,0
 84-94,0,0,3.19,0,82.84,9.56,0,10.62,1.06,15.93,8.5,13.81,6.37,0,37.17,23.36,0,2.12,0,11.68,13.81,8.5,10.62,2.12,49.92,1.06,33.99,15.93,0,0,378.09,0,6.37,0,0,1.06,30.8,10.62,21.24,9.56,0
 96-106,0,0,0,0,122.4,7.65,0,14.21,1.09,15.3,8.74,38.25,0,1.09,66.66,20.76,1.09,14.21,1.09,6.56,9.84,14.21,10.93,1.09,49.18,0,49.18,19.67,0,1.09,320.2,0,1.09,0,0,1.09,48.09,6.56,44.81,9.84,0
108-118,0,0,2.3,0.77,113.36,2.3,0.77,8.43,0,26.04,11.49,44.43,0,0.77,50.55,24.51,0,6.13,0.77,11.49,13.79,7.66,9.96,3.06,38.3,0.77,36.77,17.62,0,0.77,243.58,0,5.36,0,0,1.53,56.68,3.83,19.92,10.72,0
120,0,0,0,0,103.87,1.96,0,7.84,1.96,25.48,5.88,31.36,0,0,66.63,5.88,0,7.84,0,1.96,11.76,11.76,9.8,0,29.4,0,31.36,7.84,0,0,148.94,0,3.92,0,0,0,11.76,0,23.52,9.8,0
