stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,20.95,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,299.53,0,0,0.57,0.57,0.57,0,0,0,0.57,0,0.57,0,0,0,1.15,4.02,0,0,0,0,0,0.57,0,1.15,0,0,0,0,0
 60-70,0.98,0,0,0,0,0,1217.09,1.96,0,0.98,3.93,0.98,0,1.96,0,0.98,0,0,7.85,0,0.98,0.98,21.59,0,0.98,0,0,1.96,1.96,0,4.91,0,0,0,0,0.98
 72-82,0,0,0.98,15.71,2.94,0,1512.74,2.94,0.98,0.98,10.8,0,0,0,0.98,0.98,1.96,0.98,36.32,0.98,0.98,6.87,109.95,0.98,1.96,2.94,0,11.78,0,0,12.76,0,0.98,6.87,2.94,2.94
 84-94,0,0,0,23.36,4.25,1.06,1716.25,5.31,1.06,2.12,12.74,2.12,1.06,2.12,1.06,2.12,1.06,0,27.61,1.06,1.06,2.12,57.35,1.06,0,1.06,0,5.31,3.19,0,3.19,1.06,2.12,1.06,2.12,1.06
 96-106,0,0,1.09,33.88,12.02,1.09,1240.38,28.41,3.28,3.28,17.49,1.09,1.09,6.56,1.09,3.28,1.09,2.19,30.6,0,0,9.84,104.91,1.09,5.46,4.37,0,19.67,2.19,1.09,3.28,3.28,0,4.37,2.19,3.28
108-118,1.53,0,0,9.19,3.83,0.77,902.3,8.43,3.06,1.53,14.55,1.53,0.77,0.77,2.3,0.77,0,1.53,32.94,0,0.77,6.13,120.26,0.77,0.77,3.06,0,7.66,3.83,0,4.6,0.77,0.77,5.36,0.77,1.53
120,0,0,0,11.76,13.72,0,1054.36,13.72,1.96,0,9.8,0,0,1.96,1.96,0,0,0,23.52,0,0,15.68,80.35,1.96,0,0,0,9.8,5.88,0,1.96,1.96,0,1.96,0,0
