stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0
 24-34,0,0,0,0.82,0.82,0.82,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0.82,0,6.57,0
 36-46,0,0,0,2.42,0.81,0.81,0,0.81,0,0,0.81,0,5.64,0,0,0,0,0,0,0,2.42,0,7.25,0
 48-58,0,0,0.57,2.3,0,0,0,0,0,0,2.3,0,3.44,0,0,0,0,0,0,0,0.57,0,3.44,0
 60-70,0,0.98,0,1.96,0,0.98,0,1.96,0,0,1.96,0.98,11.78,0,0,0,0,0,0,0,0.98,0.98,2.94,0
 72-82,0,0,0,0,0,0.98,0,6.87,0,0,1.96,0,9.82,0,0,0,0,0,0,0,0.98,0,7.85,0
 84-94,0,0,0,3.19,0,1.06,0,2.12,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,8.5,1.06
 96-106,0,2.19,0,0,0,0,1.09,6.56,0,1.09,1.09,0,4.37,0,1.09,0,1.09,0,1.09,0,0,0,6.56,0
108-118,0,0,0,1.53,0,0,0,5.36,0.77,0,1.53,0.77,6.13,0,0,0,0,0,0,0,0,0,8.43,0
120,0,0,0,0,0,3.92,0,5.88,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,5.88,0
