stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,329.45,7063.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0
  5-6,98.07,2047.3,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,6.13,36.78,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,7.89,0,2.63,0,0,0,0,0,162.98,0,0,0,52.57,0,39.43,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,12.59,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,1,0,0,0,1,0,2,5,0
 24-34,0,0,0,0,0,0,4.93,0,0,0,0,0,0,4.1,0.82,0.82,0,0,0,0,0,0,0,7.39,0
 36-46,0,0,0,0,0.81,0,2.42,0,0,0,0.81,0.81,0,1.61,0,2.42,0,0,0,0.81,0,0.81,0,3.22,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0.57,0,3.44,0
 60-70,0,0,0,0.98,0.98,0,1.96,0,2.94,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,0,1.96,2.94,0,0.98,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,2.12,0,1.06,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,2.19,0,0,3.28,0,2.19,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,5.36,0,0,0.77,0,0,0,2.3,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96
