stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,0,3,0,0,0,1,0,4,0,0,0,0,0,1,0,11,15,1,0,0,1,0,0,22,0,10,38,10,0,0,0,0
 24-34,0,0,0,7.39,2.46,4.1,0,0.82,0,0,0,0,0,0,0.82,0,0,4.93,0,2.46,122.31,0,1.64,6.57,0,0,0.82,0,0,3.28,13.13,50.07,0,0.82,0,0
 36-46,0,0,0,2.42,0,2.42,0,0.81,0,0.81,0,0,0,0,0.81,0,0,5.64,0,0.81,210.28,0.81,0,3.22,0,0,0,0,0,0,0,102.32,0,0.81,0,0
 48-58,0,0.57,0,1.15,1.15,17.21,0,0.57,0,8.61,0,0,0,0,1.72,0.57,0.57,5.74,0,0,294.36,0.57,0,5.16,0.57,0,1.15,0,0,0,0,71.73,0,0,0,0.57
 60-70,0,0.98,0,0.98,0,24.54,0.98,0.98,0,15.7,0.98,0,0,0,5.89,0,0,14.72,3.93,0,580.08,0,0,8.83,0,0,0.98,0,0.98,0,0,75.58,0.98,0,4.91,0
 72-82,0,0.98,0,7.85,1.96,57.92,3.93,0.98,0,30.43,0,0,0,0.98,8.83,0,0,28.47,5.89,0.98,620.41,0,0.98,20.61,0,0,0,0,0,0,0,70.68,3.93,2.94,11.78,0
 84-94,0,1.06,0,13.81,1.06,65.85,4.25,0,1.06,23.36,3.19,0,0,0,11.68,0,0,21.24,9.56,0,370.65,0,0,36.11,0,1.06,5.31,0,0,0,0,38.23,6.37,0,19.12,0
 96-106,0,0,0,13.11,3.28,62.29,8.74,0,1.09,25.14,5.46,0,0,0,13.11,0,0,32.79,10.93,3.28,339.88,0,2.19,46.99,0,1.09,1.09,0,0,1.09,0,14.21,6.56,1.09,20.76,1.09
108-118,0,0,0,10.72,0.77,58.98,3.06,0.77,0.77,18.38,3.06,0,0.77,0,9.19,0,0,33.7,11.49,1.53,383.75,0,0.77,36,0,0,1.53,0,0,0.77,0,13.79,4.6,0,13.02,0
120,0,0,0,9.8,1.96,45.08,5.88,3.92,0,7.84,1.96,0,5.88,1.96,19.6,0,0,9.8,21.56,1.96,401.76,0,0,27.44,0,0,0,0,0,0,0,7.84,3.92,0,11.76,0
