stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,33,0,1,1,0,0,1,0,0,3,9,0,0,1,0,0
 24-34,0,0,0,1.64,1.64,0,14.78,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,5.75,0.82,0,1.64,54.18,0,1.64,6.57,0,0,3.28,0,0.82,0,8.21,0,0,0.82,0,0
 36-46,0,0,0,5.64,0,0,6.45,0,0,0,4.03,1.61,0,0,0,0,0,0.81,0,0,5.64,0,2.42,4.83,37.87,0,0.81,4.83,0,0,2.42,0,0,0,7.25,0,0,0,0,4.03
 48-58,0,0,0.57,8.03,0,0,11.48,1.72,1.15,1.15,9.18,0,0,0,0,0,0,2.3,0.57,1.15,10.9,0,0.57,4.02,36.72,2.3,1.72,6.89,0,0,4.02,0.57,0,0,9.75,0,0,0,0,2.87
 60-70,0,0,0,4.91,0,0,22.58,0,0,1.96,8.83,0.98,0,0,0.98,0,0.98,2.94,0.98,0,21.59,0,0.98,1.96,30.43,0.98,3.93,12.76,0,0,7.85,0,0,0,6.87,0,0,0,0.98,1.96
 72-82,0,0,0.98,10.8,0.98,0.98,27.49,0,4.91,4.91,33.38,0.98,0,0,0,0.98,1.96,8.83,0,0.98,46.14,1.96,2.94,3.93,42.21,1.96,3.93,31.41,0,0,9.82,1.96,0.98,0,0.98,0,0.98,0.98,2.94,4.91
 84-94,0,0,0,25.49,1.06,0,28.68,2.12,10.62,1.06,29.74,4.25,0,1.06,1.06,5.31,1.06,3.19,1.06,0,43.54,3.19,2.12,6.37,25.49,1.06,4.25,39.3,0,0,24.43,2.12,3.19,0,6.37,2.12,2.12,3.19,4.25,0
 96-106,0,0,1.09,27.32,2.19,0,28.41,1.09,8.74,3.28,30.6,3.28,0,2.19,3.28,1.09,0,15.3,1.09,0,38.25,0,3.28,4.37,26.23,0,3.28,51.36,0,1.09,29.51,0,0,0,3.28,1.09,0,2.19,8.74,3.28
108-118,0,0,3.06,75.06,0,1.53,34.47,2.3,25.28,3.83,41.36,3.06,0,0,1.53,3.06,2.3,4.6,0.77,1.53,58.21,0.77,5.36,4.6,43.66,0.77,3.83,36,0,0,27.57,0.77,2.3,0,1.53,0,0.77,4.6,3.83,2.3
120,0,0,0,66.63,7.84,0,27.44,1.96,21.56,1.96,41.16,1.96,0,0,1.96,1.96,0,3.92,0,0,33.32,3.92,0,1.96,27.44,1.96,3.92,29.4,0,0,19.6,1.96,0,0,1.96,0,0,1.96,7.84,3.92
