stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0.98,0,1.96,0,0,0.98,0,0,0,1.96,0.98,0,0.98,0
 72-82,0,0,0.98,5.89,0,0.98,0,0,0.98,0,0,5.89,0,0,2.94,0,0.98,0,0,0,0.98,0,0
 84-94,1.06,0,0,2.12,1.06,3.19,0,0,1.06,1.06,1.06,2.12,0,0,2.12,1.06,4.25,0,1.06,0,1.06,1.06,0
 96-106,1.09,0,1.09,8.74,4.37,10.93,0,0,3.28,1.09,0,13.11,2.19,2.19,9.84,2.19,1.09,0,4.37,1.09,2.19,0,0
108-118,0,0,0.77,1.53,3.06,18.38,1.53,0,0.77,0,0.77,9.96,0,3.83,6.13,2.3,1.53,0,4.6,0,0,0.77,0.77
120,0,0,0,1.96,0,17.64,1.96,1.96,5.88,1.96,0,11.76,1.96,0,0,1.96,1.96,1.96,1.96,1.96,0,0,1.96
