stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0
 24-34,0,0.82,0,1.64,0,0.82,0,0,0,1.64,0,0.82,10.67,0,0.82,0,0,1.64,0,0,0
 36-46,0,0,0,2.42,0,0.81,0,0,0,1.61,0,0,13.7,1.61,0,0,0,4.03,0,0.81,0
 48-58,0,0,0,1.15,0,0.57,0,0,0,3.44,0,0,8.61,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,6.87,0,0.98,0,0,0,0.98,0,0,10.8,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,3.93,0,0,0,0,0.98,3.93,0,0,11.78,0,0,0,0,0.98,0.98,0.98,0
 84-94,0,0,0,3.19,1.06,1.06,1.06,0,1.06,1.06,0,1.06,6.37,1.06,0,1.06,0,2.12,0,0,0
 96-106,0,0,0,5.46,0,0,0,0,0,3.28,1.09,0,5.46,0,0,0,0,0,0,0,0
108-118,0,1.53,0,4.6,0,0,0,0.77,0,1.53,0,0,5.36,0,0,0,0,1.53,0,0,0
120,0,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0
