stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,3.28,0.82,0,7.39,0
 36-46,0,0,0,0.81,0,3.22,0,0,0,0.81,0.81,0,1.61,0,0,0.81,0.81,0,2.42,0
 48-58,0,0,0,0.57,1.15,0,0,0,0.57,1.15,0,0,0.57,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,1.96,0.98,0,0.98,0,0,0.98,0,0.98,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,1.09,0,1.09,0,0,1.09,1.09,0,0
108-118,0,0,0,0,0,2.3,0,0,0,1.53,0,0,1.53,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
