stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 24-34,3.28,0,0,0,0,0,0,0.82,0.82,0,0,1.64,0,0,0,34.48,0,0,0.82,7.39,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,3.22,0.81,0,0,111.99,0.81,0,0,11.28,0,0,0,0,0
 48-58,1.72,0,0,6.31,0,0,2.87,0,0,0,0,10.9,0,0,0,188.21,0,0,0.57,22.38,0,0,0,0,0
 60-70,0.98,0,0,30.43,0,0.98,5.89,0,0,0,0,28.46,0,0,0.98,394.57,0,0,0,46.13,0,0,0,0,0.98
 72-82,1.96,0.98,0,59.88,0,0,3.93,0.98,0,0,0,34.36,0,0.98,0,389.72,0,0,0,31.41,0.98,0.98,0.98,0.98,0
 84-94,3.19,0,0,32.92,0,0,6.37,0,0,2.12,0,42.48,0,1.06,0,242.14,1.06,0,0,16.99,0,3.19,0,3.19,0
 96-106,1.09,0,0,34.97,0,0,4.37,0,0,0,0,41.53,0,1.09,0,182.51,1.09,0,1.09,7.65,0,1.09,0,12.02,0
108-118,3.06,0,0.77,34.47,0.77,0,3.06,0,0.77,0,0,34.47,0,0.77,0,183.07,0,0.77,0,3.83,0,0.77,0,5.36,0.77
120,3.92,0,0,29.4,0,0,5.88,1.96,0,1.96,1.96,15.68,0,0,0,209.7,0,0,0,3.92,0,0,1.96,3.92,0
