stage,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,vasculature,visceral.smooth.muscle
 14-21,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
 24-34,0.82,1.64,0,0,0,0,0,0.82,0.82,0,0,0.82,0.82,0,1.64,0,0.82,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0,3.22,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0.98,0,0,0,1.96,0,1.96,0,0,0
 72-82,0,0.98,0,0.98,0,0,0.98,0.98,0,0.98,0,0,1.96,0,0.98,0,0,0
 84-94,0,2.12,0,2.12,0,0,0,0,0,1.06,1.06,0,1.06,1.06,4.25,0,0,0
 96-106,0,2.19,0,1.09,1.09,0,0,0,0,0,0,0,0,0,3.28,0,0,0
108-118,0,3.06,0.77,0,0,0.77,1.53,0,0,0.77,0,0,3.06,0,3.06,0,0,0.77
120,0,1.96,0,1.96,0,0,1.96,0,0,1.96,0,0,5.88,0,1.96,0,0,0
