stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,3,2,0,0,0,0,1,0,0,0,0,2,0,0,3,25,0,0,0,1,1,2,0,0,3,11,0,2,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,4.93,0,0,1.64,27.91,0,0.82,0,0,0.82,0,0,0,0,12.31,0,0,0,0
 36-46,0,0.81,0,8.06,0,0.81,0,2.42,0,0,0,0,0,3.22,0,0,1.61,40.28,0.81,1.61,1.61,0,0,0,0,0,0,9.67,0,0,0,0
 48-58,0,1.15,0,11.48,0,0.57,0.57,2.3,0,0.57,0,0,0,7.46,0.57,0,1.15,26.4,0,0.57,0,0,1.72,0,0,0,0,6.89,0,0,0,0
 60-70,0,0,0,11.78,0,0,0,0.98,0,0,0,0,0,5.89,0,0.98,0.98,38.28,0.98,0,0.98,0,8.83,0,0,0,0,1.96,0,0.98,0.98,0
 72-82,0,2.94,0,15.71,0,0,1.96,6.87,0,0.98,0,0,0,12.76,0,0,0.98,22.58,0,0,0.98,0,2.94,0,0,0,0,2.94,0.98,0,0,0
 84-94,0,3.19,0,2.12,0,0,0,1.06,1.06,1.06,0,0,0,7.43,0,1.06,0,9.56,0,0,2.12,0,16.99,0,1.06,0,0,1.06,0,1.06,0,1.06
 96-106,0,1.09,0,4.37,1.09,0,1.09,4.37,1.09,0,0,0,0,1.09,0,0,2.19,9.84,0,0,0,0,15.3,0,0,0,0,2.19,0,1.09,1.09,0
108-118,0,6.13,0,5.36,0,1.53,0.77,0.77,1.53,0,1.53,0.77,0,4.6,0.77,0,1.53,11.49,0,0,0,0,11.49,0,0,0.77,0,2.3,0,0,0,0
120,0,5.88,0,3.92,0,0,0,1.96,0,1.96,0,0,0,3.92,0,1.96,3.92,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
