stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
 14-21,0,1,0,17,4,1,0,0,2,1,0,0,0,0,2,0,0,13,2,1,0,0,0,2,0,0,0
 24-34,0,0,0,19.7,0.82,0.82,0,0,1.64,0,0.82,4.1,0,0,3.28,0,2.46,5.75,1.64,8.21,0,0.82,0.82,1.64,0,0.82,0.82
 36-46,0,0,0,6.45,0,0,0,0,0,0,0,0.81,0,0,6.45,0,0,5.64,0.81,4.03,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,8.61,0,0.57,0,0,0.57,0,0,1.15,0.57,0,1.72,0,1.15,2.3,1.15,4.59,0,0,0,0.57,0,0,0
 60-70,0,0,0,4.91,0,2.94,0,0,0,0.98,0,2.94,0,0,3.93,0,0.98,7.85,0.98,5.89,0,0,0,0,0,0,0
 72-82,0,0.98,0,1.96,0,0,0,0,0,0,0,6.87,1.96,0,3.93,0,0,1.96,1.96,12.76,0,0,0,0,0,0,0
 84-94,1.06,0,0,4.25,0,1.06,0,2.12,1.06,0,1.06,4.25,0,0,1.06,0,0,4.25,3.19,22.3,1.06,0,0,0,1.06,1.06,0
 96-106,0,0,0,2.19,1.09,1.09,0,0,0,0,0,2.19,2.19,0,2.19,0,0,2.19,1.09,30.6,0,0,0,0,0,1.09,0
108-118,0,0,0.77,1.53,0,0.77,0,0,0.77,0,0.77,3.06,3.06,0.77,0.77,0.77,0,1.53,3.06,21.45,0,0,0,0,0,1.53,0
120,0,0,0,3.92,0,0,1.96,0,0,0,0,5.88,1.96,0,0,0,0,1.96,0,27.44,1.96,0,0,0,0,0,0
