stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,47.2,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,5,9,37,29,0,1,0,0,0,0,12,1,1,12,0,0,0,1,0,26,0,0,14,26,241,0,1,0,1,1,1,18,1,76,0,0,28,0,1
 24-34,0,0,2.46,7.39,8.21,14.78,0,0.82,0,0,0,4.1,10.67,0.82,13.13,20.52,1.64,1.64,1.64,7.39,7.39,151.86,0,0.82,100.97,60.74,32.83,0.82,2.46,0,0.82,0,1.64,18.06,0.82,47.61,0,0,125.59,0,1.64
 36-46,0,0,1.61,1.61,2.42,1.61,0,11.28,0,0,4.03,20.14,3.22,0,25.78,5.64,0.81,1.61,0,12.89,29,305.35,0,3.22,104.74,59.62,36.26,0,0,0.81,1.61,0,1.61,16.92,0,27.39,0,1.61,63.65,0,0
 48-58,0.57,0,0,2.87,1.15,1.15,0,14.92,0.57,0,7.46,32.13,4.59,0,26.4,8.03,0,2.87,0.57,4.02,15.49,400.52,1.15,0.57,77.46,72.3,21.8,0.57,0.57,0,0,0,0,8.03,0,12.05,0,2.3,30.99,0,1.72
 60-70,0,0,3.93,0.98,0.98,0.98,0,16.69,0,0,13.74,30.43,20.61,0,24.54,10.8,2.94,4.91,0,13.74,8.83,438.74,0,1.96,30.43,52.02,15.7,0,0,0,0,0,0,4.91,0,6.87,0,16.69,14.72,0,0
 72-82,0,0,27.49,2.94,5.89,2.94,0.98,42.21,1.96,0.98,16.69,67.73,78.53,0,32.39,12.76,4.91,10.8,0,19.63,7.85,761.77,0,5.89,65.77,103.07,23.56,0,0,0,2.94,0,0,16.69,0,16.69,0,28.47,49.08,2.94,1.96
 84-94,1.06,0,27.61,5.31,7.43,3.19,0,70.09,2.12,0,10.62,47.79,108.33,1.06,28.68,24.43,6.37,25.49,3.19,49.92,16.99,598.99,0,7.43,31.86,76.47,26.55,2.12,0,0,3.19,0,0,36.11,0,14.87,0,15.93,53.1,0,0
 96-106,0,0,31.69,8.74,15.3,8.74,1.09,55.74,1.09,3.28,7.65,66.66,156.28,0,43.71,32.79,18.58,34.97,0,80.87,5.46,609.81,2.19,7.65,22.95,97.26,32.79,1.09,1.09,0,10.93,2.19,0,66.66,0,22.95,1.09,37.16,55.74,3.28,7.65
108-118,0,0,16.85,9.96,13.79,6.89,0.77,22.21,0,0,6.13,42.13,147.83,0,20.68,14.55,10.72,39.83,0,85.79,5.36,539.24,0,6.89,26.81,125.62,23.74,0.77,3.06,0.77,4.6,0.77,0,50.55,0,7.66,0,21.45,54.38,3.06,5.36
120,0,0,9.8,1.96,13.72,3.92,0,11.76,0,1.96,1.96,33.32,119.55,0,25.48,17.64,9.8,15.68,0,9.8,3.92,342.96,0,3.92,15.68,76.43,17.64,0,0,0,1.96,0,0,31.36,0,9.8,0,21.56,35.28,1.96,0
