stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,85.81,0,0,0,0,0
  7-9,0,5.26,15.77,0,0,0,5.26,0,0,0,2.63,0,0,0,0,86.75,5.26,0,0,36.8,18.4,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,66.09,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,10,0,0,1,1,0,2,0,0,0,4,0,3,0,1,0,1,11,0,2,0,1,5
 24-34,0,0,0,1.64,0,0,2.46,4.1,0,0,0.82,0,0,0.82,0,6.57,0,0,0,0,13.13,0,0,0,0,0
 36-46,0,0,0,0,0,0,7.25,4.03,0,0,0,0,0,1.61,0,16.11,0,2.42,0,0,5.64,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,9.18,0,0,0,0,0,0,0.57,0.57,4.59,0,1.72,0,0,2.3,0.57,0,0,0,1.72
 60-70,0,0,0,0.98,0,0,0.98,0.98,0.98,0.98,0,0,0,1.96,0,1.96,0,0.98,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.94,0.98,0.98,0.98,0,0,0,0,0,0,0,0.98,0.98,0,6.87,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,2.12,3.19,0,1.06,1.06,0,0,0,0,0,0,4.25,0,0,12.74,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,1.09,0,0,0,1.09,0,0,0,0,7.65,0,0,3.28,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0.77,0,0,0,3.06,0,0,10.72,0,0,2.3,0,1.53
120,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
