stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,5,0,0,0,2,1,0,9,1,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,4.1,0.82,0,0,0,2.46,0,1.64,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,7.25,0,0,0,0,4.03,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.72,0,0,1.15,0,0,0,0,0.57,0,0,0,1.15,0,0,0,7.46,0,1.15,0,0,1.72,0,0,0,0.57,0,0,1.72,0,0.57
 60-70,0,0,0,1.96,0,12.76,0,0,2.94,0,0,0,0.98,0,0,0,0,7.85,0,0,0.98,18.65,0,0,0,0,6.87,0,0,0,5.89,0,0,0.98,0,0.98
 72-82,0,0,0,1.96,0,5.89,0,0.98,8.83,0,0,0,0,0,0,0,0,11.78,0,0,0,28.47,0,5.89,0,0,3.93,0,0.98,0,3.93,0.98,0.98,0.98,0,0
 84-94,0,0,0,4.25,1.06,9.56,0,0,4.25,2.12,0,0,2.12,0,0,0,0,11.68,0,0,1.06,29.74,0,1.06,0,0,16.99,0,0,0,1.06,0,1.06,1.06,0,1.06
 96-106,0,0,1.09,3.28,0,16.39,0,0,7.65,0,0,0,3.28,0,1.09,0,0,4.37,0,1.09,1.09,28.41,0,3.28,1.09,1.09,7.65,0,1.09,0,1.09,0,2.19,3.28,0,0
108-118,0,0,0,3.83,0,16.85,0.77,0,4.6,2.3,0,0,0.77,0,1.53,0.77,0.77,10.72,0,0,0,37.53,0.77,1.53,0,0,6.89,0,0,0,0.77,0.77,0,3.06,0.77,0.77
120,0,0,0,15.68,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,33.32,0,3.92,0,0,7.84,0,0,0,0,0,0,0,0,0
