stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,9.44,3.15,6.29,0,0,3.15,0,0,0
 14-21,0,0,1,0,1,1,0,0,0,3,9,0,0,0,2,0,2,5,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,4.1,0,0,0,0,0,0,2.46,1.64
 36-46,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,1.15,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0.98,0.98,0,0,1.96,0,0.98,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,1.96,0,0.98,0.98,0,0,0.98,0,0,0,0.98,0.98
 84-94,0,0,0,1.06,1.06,0,1.06,2.12,0,1.06,2.12,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,2.19,4.37,0,1.09,1.09,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0.77,2.3,0,0,0,0,0,0.77,0,0,0,0,0.77
120,0,0,1.96,1.96,0,0,0,1.96,0,0,1.96,0,0,3.92,0,0,0,0,0
