stage,blastomeres,eye,fast_muscle,glial,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0
 24-34,0,0.82,0,0,0.82,0.82,0,0,0,0,4.93,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0.81,0,0.81,0.81,0,5.64,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,3.44,0,0,0,0,0,0,1.15
 60-70,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,6.87,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,4.25,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,0,0,1.09,1.09,0,0,0,4.37,0,0,0,0,1.09,0,0
108-118,0,0.77,0,0,0,0,0,0.77,0,0,3.83,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
