stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,34.62,0,9.44,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,125.88,3.15,0,0,18.88,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,587,55,7,0,25,0,3,2,2,8,0,0,0,0,1,139,0,0,40,73,3,1,0,2,0,21,0,1,0,0,5,17,0,0,4,0,0
 24-34,0.82,0,0,2.46,394.83,4.1,18.06,0,76.34,6.57,50.89,0,0,24.63,0,3.28,0,0,0.82,159.25,3.28,1.64,73.88,85.37,3.28,0,3.28,0,1.64,114.1,0,0,1.64,0,4.93,11.49,0,0,56.64,0,0.82
 36-46,0,0,0,0,144.21,2.42,19.34,0,41.89,16.11,41.89,1.61,0,26.59,0,0,0,0,0,208.67,2.42,18.53,82.18,74.93,1.61,1.61,4.03,0,2.42,48.34,0,0,0.81,0,0,12.09,0,0.81,69.29,0,0
 48-58,0,0,0,0,54.51,2.87,19.51,0,26.4,24.67,37.3,0,1.72,17.21,0,0.57,0,0,0.57,184.77,0,12.62,63.69,51.64,0,0.57,13.77,0,2.3,17.79,0,0,0,0,0,8.03,0,1.15,55.09,0.57,0
 60-70,0,0,0,0,21.59,0.98,15.7,0,28.46,26.5,28.46,0,0.98,20.61,0,2.94,2.94,0,0,219.86,0,11.78,60.85,46.13,0,0,12.76,0,3.93,6.87,0,0,0,0.98,0,5.89,0,4.91,47.11,4.91,0
 72-82,0,0,0.98,0,16.69,4.91,29.45,0.98,12.76,43.19,36.32,3.93,0,16.69,0.98,4.91,3.93,1.96,0,308.24,0,26.5,82.46,32.39,0,0,17.67,0,9.82,0.98,0,0,0.98,0.98,0,7.85,0,14.72,102.09,18.65,0.98
 84-94,0,0,0,0,33.99,4.25,37.17,0,28.68,54.16,29.74,1.06,2.12,13.81,0,5.31,6.37,2.12,0,229.4,0,29.74,38.23,22.3,4.25,0,22.3,0,3.19,6.37,0,0,0,0,0,5.31,0,8.5,79.65,23.36,0
 96-106,0,0,0,0,40.44,17.49,32.79,0,26.23,38.25,24.04,2.19,0,16.39,1.09,9.84,3.28,1.09,0,240.43,1.09,22.95,56.83,42.62,0,0,37.16,0,9.84,3.28,0,0,0,0,0,2.19,2.19,8.74,109.28,32.79,1.09
108-118,0,0,0,0,40.6,3.06,27.57,0,31.4,38.3,17.62,5.36,0,13.79,0,12.26,4.6,0,0,197.62,0.77,21.45,40.6,26.04,0,0,31.4,0,10.72,3.83,0,0,2.3,0,0,3.83,3.06,4.6,80.43,18.38,1.53
120,0,0,0,1.96,47.03,7.84,23.52,1.96,25.48,31.36,13.72,3.92,0,5.88,0,5.88,3.92,1.96,0,139.14,1.96,23.52,19.6,45.08,1.96,0,29.4,0,7.84,3.92,0,0,0,0,0,3.92,0,3.92,94.07,15.68,0
