stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1251.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,30.65,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,39.43,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,9,0,0,0,0,1,4,0,6,0,0,2,0,0,18,0,0,0,0,0,23,0,0,4,0,0,0,0,0
 24-34,0,0,0,0,1.64,2.46,0,0,0,0.82,3.28,0,15.6,0,4.1,19.7,0,1.64,25.45,0,0,0,0,0,66.49,0,0.82,2.46,0,0,0,0,0.82
 36-46,0,0,0,0,0,3.22,0.81,0,0,1.61,3.22,0,2.42,1.61,0,18.53,0,0,6.45,0,0,0,0,0,37.87,0,0,2.42,0,0,0,0,0
 48-58,0,0,0.57,0,0.57,7.46,0.57,0,2.87,1.15,6.31,0,2.3,0,1.15,20.08,0,0,10.9,0,0,0,0,0,17.79,0,0,1.15,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,8.83,0.98,0,10.8,0.98,1.96,0,0.98,0,3.93,12.76,0,0,30.43,0,0,0,0,0,24.54,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,6.87,4.91,1.96,0.98,22.58,9.82,1.96,1.96,1.96,0,2.94,27.49,0,0.98,47.12,0,0,0,0,0.98,23.56,0,0,0.98,0,0,0,0,0
 84-94,0,0,1.06,0,3.19,7.43,2.12,0,21.24,33.99,6.37,3.19,2.12,0,0,33.99,0,1.06,18.05,0,1.06,1.06,0,0,77.53,0,1.06,1.06,0,1.06,3.19,0,0
 96-106,0,0,1.09,0,8.74,9.84,2.19,0,34.97,52.46,1.09,2.19,2.19,0,2.19,13.11,0,0,22.95,0,0,0,0,0,46.99,0,0,0,1.09,0,1.09,3.28,0
108-118,0,0,0,0,11.49,3.06,0.77,0,16.09,46.72,0,4.6,3.83,0,5.36,12.26,0.77,0.77,29.11,0.77,0,0,0,0.77,40.6,0,0,0.77,3.06,0,0.77,0.77,0
120,0,0,0,0,19.6,3.92,0,0,17.64,29.4,0,1.96,3.92,1.96,7.84,5.88,0,0,15.68,0,0,0,0,0,33.32,0,0,1.96,0,0,1.96,0,0
